---||Bengaluru||Family makes Ganesha idols; has kept tradition on for 92 years||Come Ganesh Chaturthi and the Rao family of Mannagudda, is one of the busiest households in Mangaluru city. The Raos are popular for their aesthetic home-made Ganesha idols, which grace some of the biggest homes and pandals in the city. "My father Mohan Rao started making these idols over nine decades ago; this is our 92nd year," smiles Ramachandra Rao, 72, who is joined in this noble task by his brothers. "We learnt idol making from my father and he taught us the most delicate nuances of carving Ganesha idols. Even though we all pursued regular professions, this is something we will never let go of. My brothers and I are joined by our entire family during the festive season to make these idols. Our sons, daughters-in-law, grandkids and cousins, everyone comes home to lend a hand," Ramachandra tells us. This year, the family has made the highest number of idols thus far -- 230. In keeping with the pandemic, the family has requested all their patrons to collect the idols much before the festival to avoid rush hour and ensure social distancing. And if the idols are in such high demand even after all these decades, it's because the Raos do not compromise or cut corners when it comes to their idols. The clay for the idols comes from a field in Ganjimutt, on the outskirts of the city. The straw comes from a friend's farm. "During my father's time, we'd procure it from the paddy fields around Mangaluru but with these lands slowly disappearing, we had to fetch it from Ganjimutt," shares Ramachandra. Ask him about the debate around making eco-friendly Ganeshas and he quips, "We have always been making our idols out of clay which is the most eco-friendly material you can find. And unlike cities like Mumbai, we never use plaster of Paris and distemper. It's always eco-friendly paint sans lead, which will not harm the water body where you immerse the idol," states Ramachandra. On a parting shot, we ask him his opinion on innovative Ganeshas -- of him playing cricket, wearing a cap amongst others. "In South Kanara, we respect our Gods and traditions. These are sentiments that can't be played around with. Ganesha always sits and that is how we will always depict him. This is not a profession for us, but a sacred task," sums up Ramachandra.||http://timesofindia.indiatimes.com//city/bengaluru/family-makes-ganesha-idols-has-kept-tradition-on-for-92-years/articleshow/86062137.cms||Madhu Daithota
---||Lucknow||Planetarium to reopen today after two years||Lucknow: Missing those celestial shows where you could experience the adventure of touching the stars virtually? Well, your wait is over. Closed for almost two years due to Covid-19 pandemic, the Indira Gandhi Planetarium is set to open for the public from Friday. The hub of stargazers and astro enthusiasts, the centre will resume normal screening of astro shows, like pre-Covid days, from Friday. “Due to the pandemic, the operation of all three planetariums operated by the Council of Science and Technology-Indira Gandhi Nakshatrashala, Lucknow, Veer Bahadur Singh Nakshatrashala, Gorakhpur and Aryabhatta Planetarium, Rampur, was closed for the public from March 12, 2020, to present,” said IGP’s senior scientific officer Sumit Srivastava. He said the functioning of the planetarium could not resume this year too in view of Covid. Now, since all educational institutes have been opened in the offline mode and a majority of planetarium visitors are from the academic fraternity we have decided to open it. Srivastava said we will be running our shows titled ‘Cosmic journey’ which is of 45-minute duration. It will be ensured that Covid-19 safety norms are strictly followed during the shows. The planetarium will remain closed on Monday and the cosmic show will be run at four different timings every day, he added.||http://timesofindia.indiatimes.com//city/lucknow/planetarium-to-reopen-today-after-two-years/articleshow/86082083.cms||टाइम्स न्यूज़ नेटवर्क
---||Delhi||Delhi: Over 1.5 lakh vaccine doses given daily in Septemeber so far||NEW DELHI: The Covid-19 vaccination drive, which picked up pace last month, is going full steam in September. This month has already seen more than 12 lakh vaccine doses being administered with an average of 1.5 lakh a day. At 10pm on Thursday, the number of vaccine doses given in the first nine days of September stood at 12,18,879, out of the total 1,47,38,782 doses administered till date since the drive began this January. On September 1, 1.1 lakh vaccine doses were administered, and the number jumped to 1.5 lakh the next day, dipped slightly to 1.4 lakh on September 3 and again rose to nearly 1.7 lakh on September 4, last Saturday. Government vaccination centres remain closed on Sunday and that is why September 5 saw only 8,353 people getting the vaccine shots, but the count again went up to 1.6 lakh on Monday and reached a high of 1,72,852 on Tuesday.  Wednesday saw the number come down to 1.4 lakh, but it was 1.5 lakh on Thursday. If one doesn’t take into account the Sunday numbers, the average this month has been 1,51,315.7. Out of the total 1,44,963 doses on Wednesday, 97,044 were first doses, while 47,919 got the second dose. Till 10pm on Thursday, 1,04,63,071 first doses have been administered in Delhi and 42,75,711 beneficiaries have received both doses. With the total number of eligible beneficiaries in Delhi being approximately 1.5 crore, two-thirds of them have received at least one dose of the Covid-19 vaccine and around 28.5% of all eligible beneficiaries in the city have been fully vaccinated. As per the vaccination data shared by Delhi government on the doses administered till Wednesday, of the fully-vaccinated people, the number of those aged 45 years or more is nearly 22.9 lakh, and that of the 18-44 years, 13.6 lakh. Besides, around 2.2 lakh healthcare workers and 3.5 lakh frontline workers have also been fully vaccinated. Among those with the first dose, the number of beneficiaries in the 18-44 year age bracket is overwhelmingly high at more than 60 lakh, followed by 35.8 lakh of those aged 45 years or more. Healthcare workers who have only received one dose till now are 2.6 lakh and the number of frontline workers in this category is 4.4 lakh. North West district has administered the highest number of both first — 12,73,280 — and second — 4,94,143 — doses among all the districts in the national capital. On the other hand, North East district has seen the least number of first — 6,64,032 — and second — 2,12,629 — doses.||http://timesofindia.indiatimes.com//city/delhi/over-1-5l-vax-doses-given-daily-in-sept-so-far/articleshow/86080034.cms||Sidharatha Roy
---||Pune||NCP announces new city panel, sets up LGBT cell||Pune: Nationalist Congress Party on Thursday announced its new city committee comprising an LGBT cell — the first such unit in the party. Prashant Jagtap, the city unit chief of Nationalist Congress Party (NCP), said, “The LGBT community has its issues. We must make sure that they are addressed. So, a special representation has been given to them via a dedicated cell. It will take up issues faced by transgenders on priority. They are facing atrocities and social stigma.” The party announced the jumbo committee having over 243 executive committee members with its sights set on the civic elections. NCP established a special right to information act cell also for the city, besides a social media cell. Jagtap said, “The municipal corporation came up with many initiatives in the last two years. Information about them has been supressed. Lot of funds have been utilised under the garb of Covid-19 mitigation. Its details should be made public. Citizens have the right to know where the public funds are being used by the civic authorities. The RTI cell will help in getting this information and sharing it with the public.” According to the declared list, the party has given various positions, including vice-president, secretary-general, secretary and publicity heads, to its leaders. The posts have been offered in accordance with various assembly constituencies, including Kothrud, Wadgaonsheri, Kasba, Shivajinagar, Hadapsar, Cantonment and Parvati. The party has come up with special internal units like minority cell, senior citizens’ cell, hawkers’ cell and government offices’ cell also.||http://timesofindia.indiatimes.com//city/pune/ncp-announces-new-city-panel-sets-up-lgbt-cell/articleshow/86079986.cms||---
---||Nashik||Over 3 lakh got jabs in a day in north Maharashtra||NASHIK: For the first time since January this year, over 3.15 lakh beneficiaries received vaccine doses in a single day on Wednesday across the five districts in north Maharashtra. The previous best figures for single-day vaccination was registered on September 4, when over 2.47 lakh beneficiaries were given shots across the five districts. Deputy director of the state health department, Nashik region, Dr PD Gandal told TOI that officials in Nashik, Jalgaon, Dhule, Nandurbar and Ahmednagar districts were able to administer such high number of beneficiaries since vaccines were adequately available. “The health workers in these districts are doing a stupendous job and should be applauded for their effort,” Gandal commented. Leading the five districts in the single-day vaccination numbers was Jalgaon, which for the second time since September 4, vaccinated over one lakh beneficiaries. On September 4 Jalgaon’s single-day vaccination figure stood at over one lakh and on Wednesday over 1.16 lakh beneficiaries were given the vaccine. Similarly, Ahmednagar, with over 88,000 vaccinations, and Nashik, with over 78,000 vaccinations, registered the highest number of vaccinations in their districts on Wednesday. Jalgaon district collector Abhijit Raut had recently said that the district is capable of carrying out 1.50 lakh vaccinations a day provided availability is not an issue. Health officials in these districts said they were able to carry out such high vaccination since they had received adequate doses. Vaccination coordinator and Nashik deputy collector Ganesh Misal said over 28.57 lakh beneficiaries in the district have been either partially or fully vaccinated so far. There are 405 government vaccination centres and 30 private hospitals involved in the vaccination programme in Nashik district. “The vaccine supply has improved and hence the single day vaccination in the district is constantly swelling,” added Misal.||http://timesofindia.indiatimes.com//city/nashik/over-3l-got-jabs-in-a-day-in-north-maha/articleshow/86075197.cms||Ranjan Dasgupta
---||Dehradun||NGT imposes Rs 2 lakh fine on Almora PWD||Almora: The National Green Tribunal (NGT) has imposed a fine of Rs 2 lakh on the Almora Public Works Department (PWD) for ‘illegal felling of trees’ and ‘improper disposal of debris’ during the construction of Gagas Undi Mahadev Sailapani Road in Almora’s Dwarahat forest range. The green tribunal has instructed the PWD to pay the fine within a month at the divisional forest office. The road construction project had received a go-ahead in 2010 itself and the road cutting work was also started. However, the project came under the lens after locals expressed their dissatisfaction with the road alignment. Thereafter, a local, Ajay Bisht, approached the NGT in the matter. After almost 10 years, the NGT has, in its judgement, said that construction of the road is in the public interest and the PWD can go ahead with it. However, the green body asked the PWD to comply with environmental regulations.||http://timesofindia.indiatimes.com//city/dehradun/ngt-imposes-rs-2-lakh-fine-on-almora-pwd/articleshow/86077449.cms||---
---||Nashik||State govt to help Nizam-era schools||Aurangabad: Around 718 state-run Nizam-era schools in different parts of Marathwada are expected to undergo a makeover, while another 1,050 such institutions will be repaired soon. In a special initiative, the state government will provide funds worth Rs200 crore for construction of as many as 1,623 classrooms and necessary repairs. The list includes 81 schools from Aurangabad district. In total, 173 classrooms will be reconstructed and 130 schools that will undergo repair. Making a formal announcement to this effect, school education minister Varsha Gaikwad on Thursday said having basic infrastructure in place was a sign of any good school and the state government was committed for the same. In a series of tweets, Gaikwad said the initiative of reconstructing and repairing old schools, which will be scaled up in other parts of the state later, was part of the special educational quality development mission initiated by the government in the name of Rajmata Jijau. As part of the mission, the state government has been shelling out Rs 200 crore towards its 80% share of total expenditure, while the rest 10% each must be borne by respective Zilla Parishad (ZP) and concerned school. The schools to undergo a makeover have been identified based on a preliminary structural audit carried out by the Maharashtra Primary Education Council recently. “Schools having at least 60 to 100 students and with the ability to arrange 10% funding will be covered on priority under the initiative,” EM Kazi, joint secretary, school education department, stated in the latest government resolution. Aurangabad district secretary of ZP Teachers Association Kailas Gaikwad welcomed the initiative. “The planned measures will ensure safety of students and make schools more attractive. Many rural students still study in old ZP-run schools and they will benefit from the initiative,” he said.||http://timesofindia.indiatimes.com//city/nashik/state-govt-to-help-nizam-era-schools/articleshow/86075214.cms||Prasad Joshi
---||Nashik||Marathwada set to have one of the wettest years||Aurangabad: Marathwada may end up receiving the highest quantum of rainfall — during the stipulated four months of the rainy season — in recent times this year. Eight districts of the region have already received 798mm average rainfall since June 1, which is 142% of the expected normal rainfall. With three-and-a-half months still to go, in the June-December rainy season, the region has already surpassed its quota of 772mm rainfall. As per the official figures, the monsoon in 2005 had produced an average of 836mm rainfall in Marathwada, which is considered one of the wettest rainy seasons. The previous years producing heavy rainfall include 2006 (769mm), 2020 (725mm) and 2007 (703mm) among others. The ongoing good run of the monsoon, considered together with the rainfall of last year shows that the quantum showers received in Marathwada, known as the drought-prone region, differs from the observations made by India Meteorological Department (IMD). In January 2020, IMD reported the observed rainfall variability and trends in Maharashtra as an impact of climate change based on 30 years of the data (1981 - 2018) had stated that Marathwada receives the lowest average rainfall (454-600mm) during monsoon season during the identified period. V B Asewar, the chief scientist at the Parbhani-based Vasantrao Naik Marathwada Agricultural University, on Thursday, said that the pattern of rainfall observed in the region during the ongoing monsoon implies obvious signs of climate change. “Parts of Marathwada, including some areas of Aurangabad, Parbhani and Nanded districts, have received heavy over a period of few hours. Such excess showers, within a short span, and on such a large scale were not observed in Marathwada in the past,” he said. Wet years producing excess showers inflict damage more or less similar to years. “Kharif season remains at peril in case of heavy showers, which has a cascading effect on the rabi crops too. Our country, having an agrarian economy, cannot afford either wet or drought years. These are manifestations of climate change,” he added.||http://timesofindia.indiatimes.com//city/nashik/marathwada-set-to-have-one-of-the-wettest-years/articleshow/86075271.cms||Prasad Joshi
---||Lucknow||Lethal D2 strain behind west UP deaths: ICMR||Lucknow: The virulent D2 strain of the dengue virus – known to cause fatal haemorrhage – has been the killer of elders and children in districts of western Uttar Pradesh, said Dr Balram Bhargava, Director-General, Indian Council of Medical Research on Thursday. Experts informed TOI that D2 strain of the dengue virus (serotype 2 or DENV-2) is known to be the most virulent strain and can cause severity in disease. Taking a question on the issue at the health briefing in New Delhi, Dr Bhargava said: “The D2 variant of dengue was behind the surge in fever cases and deaths in western UP districts of Firozabad, Agra, Mathura and Aligarh.” He added that the D2 strain was not only virulent but also fatal. At least 58 lives have been lost in Firozabad alone due to dengue in the past three weeks according to official data. Alarmed over the situation, Chief Minister Yogi Adityanath sent high-level teams to the affected districts toinitiate control measures. Alongside, a team from ICMR and National Centre for Disease Control also visited the district to isolate the pathogen behind the fever cases and deaths. Earlier, member, NITI Aayog (health), Dr VK Paul had admitted that outbreaks of mosquito borne diseases had been reported in several parts of the country and it was important to stay alert against them Health sources also revealed that several cases of scrub typhus and leptospirosis were also reported. Mosquito surveillance reports showed that the administration failed to check the growth of mosquitoes in the region. Vector surveillance is based on several indices of which house and contain indices are popular ones. In the house indices, prevalence of mosquito larva or pupae in households is assessed, while in the container indices, percentage of water holding containers infested with large or pupae is tracked.||http://timesofindia.indiatimes.com//city/lucknow/lethal-d2-strain-behind-west-up-deaths-icmr/articleshow/86082132.cms||Shailvee Sharda
---||Pune||Pune: E-vehicle registrations soar in July; all eyes on festivals||PUNE: E-vehicle registrations at Pune and Pimpri Chinchwad regional transport offices (RTO) increased by 114% and 117%, respectively, in July as compared to the previous month. “In August, there has been a very slight dip, but we expect the figures to stay higher in September and in the coming festive months. During festivals like Diwali and Dasara, people tend to buy new vehicles and unlike last year, we hope to see far better registrations of all vehicles this time around. Electric vehicle is a segment which has increased its market share and presence in the city. We are sure that their sales and registrations will go up,” an official from the Pune RTO said. Another RTO official said high fuel prices was among the reasons for the growth in e-vehicle sales. “E-vehicles seem costly but a customer also calculates the money spent on fuel. An electric two-wheeler with a 250watt power motor or less doesn’t require an RTO registration, which is attracting people. The cost of such vehicles is around Rs 80,000 to Rs 90,000, but it can be recovered quickly. The sale of e-carts meant for transport of goods is high in Pune,” he said. Amey Pawar, an e-vehicle dealer in the city, told TOI that e-vehicles were doing very well. “There is a big growth and parents wanting bikes for their children, senior citizens and woman are opting for e-vehicles. The queries have gone up to 15 each day and the conversion rate is also decent,” Pawar said.||http://timesofindia.indiatimes.com//city/pune/e-vehicle-registrations-soar-in-july-all-eyes-on-festivals/articleshow/86080028.cms||Joy Sengupta
---||Mumbai||BMC clears plan to revamp five footpaths for Rs 69 crore||MUMBAI: BMC has cleared a proposal to revamp five footpaths for Rs 69 crore, which means it will spend over Rs 10 crore for each one. The civic standing committee cleared a proposal to beautify and strengthen footpaths at Wadala, Chembur, Bandra and Goregaon. BMC will beautify and revamp footpaths at Lady Jehangir Marg, from St Joseph’s Circle, near Wadala station, to Ruia College; Maharshi Dayanand Saraswati Marg, from Diamond Garden to Chembur railway station; Sant Gyaneshwar Mandir Road and RKP Road in Bandra (E); and MG Road at Goregaon. TimesViewSpending Rs 69 crore for just five footpaths is truly exorbitant, particularly so because the quality of footpaths provided across the city is hardly world-class. The BMC must spend funds judiciously and in the city's best interests. Footpaths must indeed be provided, but quality ones and at a reasonable cost.After a pilot project of revamped footpaths was carried out at Fort, environment minister Aaditya Thackeray directed BMC to revamp other footpaths. Officials said they would focus on improving the surface for smooth mobility. “It will be a pilot project of sorts. We can take up more footpaths based on how these five footpaths turn out, and feedback from pedestrians,” the official said. A footpath policy was framed in 2018 to make them pedestrian-friendly. The civic body intended to replace paver blocks with concrete, as it is more long-lasting and cannot be dislodged easily. But there is no mention of BMC’s ‘Pedestrian First’ policy now. Officials said the revamp includes standardisation of footpaths, billboards, bus-stops, tree basins and hawking pitches. We will concretise footpath surfaces, make disabled-friendly ramps, widen tree basins and install concrete benches. There will also be billboard standardisation,” said an official. As part of a footpath upgrade at Fort, a prototype transparent bus shelter was installed. Officials said it was a standard shelter across international cities like New York, London and Singapore. Officials said after BEST and Mumbai Heritage Conservation Committee (MHCC) approval, other bus shelters will also be replaced. Samajwadi Party MLA and corporator Rais Shaikh said BMC was going ahead with projects without any priority list. “BMC must think at a time when its finances are in doldrums, it must halt such projects. BMC must first see the fate of the much-hyped projects like Tansa pipeline cycle track, which has failed. It has put on hold road work of Rs 1,200 crore and school upgradation projects worth Rs 150 crore due to lack of funds and now wants to make these fanciful footpaths,” Shaikh said.||http://timesofindia.indiatimes.com//city/mumbai/mumbai-bmc-clears-plan-to-revamp-five-footpaths-for-rs-69-crore/articleshow/86082282.cms||Chaitanya Marpakwar
---||Pune||Trio held for five burglaries, booty worth Rs 33L seized||Pune: A priest and his two women accomplices, including his sister, have been arrested in connection with five burglaries in Warje Malwadi, Uttamnagar and Alandi. Police have recovered booty worth Rs33.4 lakh from the trio. Senior inspector Shankar Khatke from the Warje Malwadi police told TOI on Thursday, “The priest, Padmakar Joshi (46), would look for locked flats whenever he was visiting housing societies to perform pooja rituals and would later commit burglaries there. The women, Neelima Joshi (44) and Archana Khade (40), would accompany him to ensure easy access to societies and avoid suspicion.” The officer said, “Their involvement came to light when they were caught on a CCTV camera after an incident, related to stealing cash and ornaments collectively valued at Rs13 lakh, was reported in a housing society in Warje recently.” “We checked footages at various places and identified the routes used by the priest and his accomplices. We arrested them on September 4. During questioning, the suspects confessed their involvement in five burglaries,” he added. The police said thay have been arrested under the relevant sections of the Indian Penal Code.||http://timesofindia.indiatimes.com//city/pune/trio-held-for-five-burglaries-booty-worth-rs-33l-seized/articleshow/86080005.cms||---
---||Delhi||Personal appearance for registration of marriage includes online mode: HC||New Delhi: Delhi High Court on Thursday said videoconferencing appearance fulfils the requirement of personal appearance before the authority concerned for registration of marriage. Justice Rekha Palli, who was hearing a plea by a US-based couple seeking registration of their marriage through videoconferencing, stated that the high court had permitted registration of a marriage through virtual mode earlier as well — in 2007 when the use of videoconferencing was at a very nascent stage. “I find that.. (the requirement of) personal appearance would include appearance through videoconferencing,” asserted the judge who said she will “allow the petition” seeking permission for virtual appearance before the registering authority. The court said a detailed order will be passed in a couple of days. The couple claimed that their marriage was solemnised through Hindu rites and rituals before the registration of marriage was made compulsory in 2014 by the Supreme Court. Since the couple relocated abroad, they were unable to get their marriage registered under the Delhi (Compulsory Registration of Marriage) Order, 2014, it was stated. TNN||http://timesofindia.indiatimes.com//city/delhi/personal-appearance-for-registration-of-marriage-includes-online-mode-hc/articleshow/86080062.cms||टाइम्स न्यूज़ नेटवर्क
---||Jaipur||Satish Poonia accuses Rajasthan govt of playing appeasement politics in Malpura||JAIPUR: State BJP president Satish Poonia on Thursday accused the state government of playing appeasement politics by being a mute spectator to news of migration of majority community in Malpura tehsil of Tonk. Poonia was reacting to the reports saying due to the increase in the population of the minority community, the majority community was fleeing the area due to fear. “It is very disturbing to hear that 300 families have been forced to leave right under the nose of the government. The government has to take the cognisance of the events unfolding in Malpura that has a history of communal disturbance,” he said. He added that the majority community has been complaining about the changing demographics in the tehsil, but the way they pasted posters outside their houses is shameful for the ruling government. “Similar incident has been happening in Mewar region, dominated by the minority community. The manner in which government has ignored the incidents shows that they are promoting communal politics,” said Poonia,. The BJP has directed its MLAs to raise the failures of the state government in the assembly. At a party meeting held at the assembly, Poonia said the session is an opportunity to expose the lies of the government, its mismanagement during Covid, graft in procuring medicines and medical equipment and unfulfilled pol promises.||http://timesofindia.indiatimes.com//city/jaipur/poonia-accuses-govt-ofplaying-appeasement-politics-in-malpura/articleshow/86082123.cms||---
---||Lucknow||NIRF rankings: Mixed results for city||Lucknow: The declaration of the National Institutional Ranking Framework (NIRF) ranking brought mixed results for the city’s higher educational institutes on Thursday. An improvement in the ranking of Dr Babasaheb Bhimrao Ambedkar University (BBAU) brought cheers while Lucknow University’s disappointing debut together with Dr Ram Manohar Lohia National Law University (RMNLU) and Indian Institute of Management-Lucknow slipping from its previous high ranks disheartened students and teachers. Two private institutes, Jaipuria Institute of Management and Integral University, brought some consolation for the city. Dr Babasaheb Bhimrao Ambedkar University, which didn’t figure in the top 100 universities in NIRF ranking last year, managed 65th rank this year while LU figured in the rank band of 150 to 200. RMNLU, which was at eighth position in 2018, 14th position in 2019 and 11th last year, slipped to 15th rank, this year. The Integral University ranked 41 among pharmacy institutes and Jaipuria Institute of management ranked 68 in the top 100 management institutes of the country. “BBAU really worked hard on three things: public perception, teaching and learning, graduation outcomes and placements. The university switched to the use of modern teaching tools and technologies, focused on making the lectures two-way and more interactive and achieved a good pass percentage and placement record that helped in image building,” said BBAU spokesperson Rachna Gangwar. LU spokesperson Durgesh Srivastava said, “It was for the first time we had participated in the ranking and getting a place in 150-200 rank band is not that bad. The varsity is working hard in all directions and in coming years will figure at a good place in the NIRF ranking.” RMNLU vice-chancellor, Prof SK Bhatnagar said, “For moving up in the ranking ladder, the university will have to expand its consultancy services.”||http://timesofindia.indiatimes.com//city/lucknow/nirf-rankings-mixed-results-for-city/articleshow/86082167.cms||Mohita Tewari
---||Nashik||643km length of roads damaged due to rain in rural Aurangabad: ZP||Aurangabad: Different roads measuring around 643 kilometer in total from rural areas of Aurangabad district have been damaged due to incessant showers observed over past 48-hours among other rain-related damage, said the Zilla Parishad (ZP) officials. In a preliminary analysis carried out by the ZP administration, funds worth Rs 9.6 crore are needed to carry out urgent repair of these roads. The rain fury has damaged buildings of six primary health care centres in Aurangabad district, besides causing harm to 20 barrages and other irrigation structures. The collective losses towards these damages is pegged at over Rs 4.4 crore. The rain has also inflicted harm to four public water supply schemes from Kannad taluka with overall damage running into Rs 17.5 lakh. The heavy downpour observed for two days from September 7 has caused damage to 242 structures owned by different Gram Panchayats, leading to damage of Rs 29 crore. “Aurangabad district has witnessed different damages to the tune of Rs 245 crore due to incessant showers observed in past couple of days. As per guidelines of NDRF, the district is entitled to get at least Rs 8.9 crore towards necessary compensation,” Aurangabad ZP CEO Nilesh Gatne said. Meanwhile, public representatives from different areas, including PWD Minister Ashok Chavan and Health Minister Rajesh Tope visited the rain-affected areas in their jurisdiction on Thursday. Chavan, who visited flood-hit areas of Nanded district, said plans were afoot to replace bridges that are prone to get submerged during monsoon season. The divisional government authorities were yet to release the figure of crop-damage and other losses incurred by the region due to latest showers.||http://timesofindia.indiatimes.com//city/nashik/643km-length-of-roads-damaged-due-to-rain-in-rural-aurangabad-zp/articleshow/86075320.cms||टाइम्स न्यूज़ नेटवर्क
---||Hyderabad||Actor Ravi Teja quizzed by ED in Tollywood drug case||HYDERABAD: Actor Ravi Teja and his driver Srinvas was quizzed by the Enforcement Directorate (ED) on Thursday in connection with the 2017 Tollywood drug scandal. The Telangana excise enforcement SIT probe in 2017 couldn’t find any strong evidence against actor Ravi Teja then. Ravi Teja is the sixth Tollywood personality to be quizzed by the ED so far. Apart from the actor and his driver, ED also grilled Zeeshan Ali Khan who was earlier named in the drugs case. The SIT had identified Calvin Mascarenhas and Zeeshan Ali Khan as key drug suppliers to Tollywood.  It was the WhatsApp conversations, call data records and mobile phone book and confessions of Khan and Mascarenhas that led to the Tollywood stars. However, the SIT did not register any case against any Tollywood stars citing lack of evidence.||http://timesofindia.indiatimes.com//city/hyderabad/ravi-teja-quizzed-by-ed-in-tollywood-drug-case/articleshow/86082178.cms||U Sudhakar Reddy
---||Jaipur||Rajasthan: GST amendment bill tabled on day 1, session ends on September 18||JAIPUR: The assembly session that reconvened on Thursday will continue till September 18. The decision was arrived at during the meeting of the Business Advisory Committee (BAC) chaired by the speaker CP Joshi. The House was adjourned till Monday after four bills were tabled and obituary references made. There will be no business on Friday because of Ganesh Chaturthi. September 16 will be a holiday for Ramdev Jayanti. Question Hour and Zero Hour proceedings will be part of the daily proceedings. But on Monday there will be no morning session as a seminar on Democracy and Public aspirations’ will be held in the assembly under the aegis of Commonwealth Parliamentary Union addressed by Congress leader Gulam Nabi Azad and union minister Nitin Gadkari. According to the sources, a total of 12 bills will be passed in the current assembly session including eight pending bills and the four bills tabled on Thursday.||http://timesofindia.indiatimes.com//city/jaipur/gst-amendment-bill-tabled-on-day-1-session-ends-on-sept-18/articleshow/86082168.cms||---
---||Meerut||2 minor boys found dead in UP forest killed by debt-hit man for e-rick||Meerut: Two minor boys, whose blood-soaked bodies were found dumped in a forest in Uttar Pradesh with multiple cuts and bruises a fortnight ago, were allegedly killed by a debt-ridden labourer who posed as a passenger and stole the e-rickshaw they were driving. The crime had shocked the region and its “gruesome nature” had led police to initially rule out robbery as the motive. On Thursday, Mohd Zahid, 28, was arrested for the double murder. Police have also arrested Shaukeen Ahmad, a resident of Amroha, to whom Zahid had taken the e-rickshaw after allegedly committing the crime to repay his debt of Rs 50,000. The vehicle was recovered from Ahmad. The victims — Mohd Sadiq (14) and his friend Mohd Aman (13) — were both residents of Shahjahanpur town, 25 km from Meerut, and were found murdered in a lonely stretch of the forest in Fatehpur Narayan village on August 29, a day after their families had reported them missing. The two had been driving an e-rickshaw, which belonged to Sadiq's brother, as they often helped their families financially by doing odd jobs. The e-rickshaw as well as Sadiq’s phone had gone missing after the murders. According to circle officer (Kithore), Brajesh Singh, the investigation relied on CCTV footage to crack the case. “It seemed like a blind case as no enmity angle surfaced during the investigation. So we scanned CCTV footage from a crossing at Shahjahanpur town where the boys were last seen talking to a passenger. We saw a man with a sack boarding their rickshaw. We focused on the passenger and found that he had been loitering suspiciously in the area for a few hours before he went up to the boys,” Singh said. In between, the man had made some calls. So police traced all cellphones that were active at the crossing on the day of the crime and summoned their owners. “Appearance of one of the people who turned up at the police station matched the passenger we were looking for. Zahid was interrogated and broke down during questioning. He confessed that he was under a debt of Rs 50,000 and decided to steal the e-rickshaw to repay it,” said the CO. Police said Zahid was able to convince the boys that he was a farmer and was carrying a sack of manure to his farm. “Zahid boarded their rickshaw and once they were deep in the woods, he asked the elder boy, Sadiq, to stop the rickshaw and help him pick a water pump from his farm. He took him through the forest and strangled him and stabbed him multiple times with a knife at a secluded spot. Then he returned and asked Aman to accompany him as the motor pump was too heavy. He killed the other boy as well,” the CO said. Zahid has been booked under section 302 (murder), 394 (voluntarily causing hurt while committing robbery), 201 (causing disappearance of evidence) and 364 (kidnapping) of the Indian Penal Code. Ahmad has been booked under section 411 (dishonestly receiving stolen property), said police.||http://timesofindia.indiatimes.com//city/meerut/2-minor-boys-found-dead-in-up-forest-killed-by-debt-hit-man-for-e-rick/articleshow/86077607.cms||Sandeep Rai
