14-10-2021||News||Mind The Gap | The cost of being a modern working woman||The Big Story: The dreaded modern woman
14-10-2021||Chandigarh||Retired Punjab power engineers blame private plants for crisis||Accusing the successive governments in Punjab of privatising the power generation sector, a forum of retired Punjab State Power Corporation Limited (PSPCL) engineers on Wednesday sought to reverse the policy and asked the utility to take electricity generation under its direct control. “The PSPCL can buy private thermal plants in Punjab by monetising its assets. The land attached with the Bathinda thermal plant which has been closed is worth ₹20,000 crore. Using these funds, the corporation can buy the three thermal plants at Rajpura, Mansa and Goindwal Sahib,” said PSPCL retired deputy chief engineer Bhupinder Singh, who is convener of the forum. He said cancellation of power purchase agreements (PPAs) with the private power plants would lead to acute power shortage and long-drawn litigations. “There is no provision of cancellation of the PPAs,” Singh said. Due to insufficient generation on its own, the PSPCL was dependent on outside sources to supply power to consumers as the state-run thermal plants contribute merely 3% of the total energy, the lowest in the country, he added.||https://www.hindustantimes.com/cities/chandigarh-news/retired-punjab-power-engineers-blame-private-plants-for-crisis-101634154881799.html
14-10-2021||Chandigarh||LIT chairman inspects road construction work||: At a time when the residents have been raising concern over the quality of development works, chairman of the Ludhiana Improvement Trust (LIT) Raman Balasubramaniam conducted a surprise inspection to check the ongoing work to reconstruct the main Bhai Randhir Singh (BRS) Nagar main road on Tuesday night.Officials checked the quality of hot mix material and the thickness of the under-construction road. The officials said the road was being constructed during night hours as heavy traffic was witnessed on the road during the day and people also visited markets ahead of the festive season. The chairman said the quality of work was satisfactory and directions had been issued to the contractor to maintain the quality of work. The project is being taken up at a cost of ₹1.5 crore. “I inspected the work at 10.30 pm. Regular sampling of the construction material is also done by LIT. It is expected that all major road construction works being taken up by LIT will be completed within two weeks,” he said.||https://www.hindustantimes.com/cities/chandigarh-news/lit-chairman-inspects-road-construction-work-101634154821973.html
14-10-2021||Chandigarh||Bhola drugs case: No objection to opening of sealed reports, Punjab tells HC||The Punjab government on Wednesday told Punjab and Haryana high court that it has no objection to opening sealed-cover reports on drugs menace in the state while alleging involvement of influential persons. State’s advocate general APS Deol told high court bench of justices AG Masih and Ashok Kumar Verma that prior to taking up other issues, the issue of opening of sealed cover reports can be taken up on priority so that state’s prosecution agencies can proceed as per law. Interestingly, the state’s advocate general in his submissions on Wednesday also referred to another set of reports submitted in 2018 by an SIT led by Siddharth Chattopadhyaya, to probe the role of police officers in the drugs racket. Three reports were signed by all SIT members and one report only by Chattopadhyaya. On May 23, 2018, the high court had also taken this report on record, observing that all these reports need to be examined in conjunction with reference to the issues formulated by the court or the task assigned to the SIT by way of orders passed from time to time. These submissions were made during the resumed hearing in a 2013 suo motu petition, initiated into an alleged ₹6,000 crore drug racket case in which the court is monitoring the probe by various agencies. On October 5, the high court had advanced the hearing by a month on an application moved by an advocate Navkiran Singh, who is an intervener in 2013 suo motu petition. The three crucial reports which Navkiran is demanding that they be opened are: One by then special task force head HS Sidhu, another of then enforcement directorate assistant director Niranjan Singh and third of a committee headed by then additional chief secretary (home) Nirmaljeet Singh Kalsi. All these reports are lying in a sealed cover before the high court since 2018. The reports are mainly on allegations of involvement of some high-profile politicians of the state. The hearing on Wednesday was conducted through virtual mode and started at around 4:30 pm. The court while deferring the matter for Thursday observed that the drugs menace PIL has a number of issues associated with it and all the issues cannot be taken up simultaneously. Hence, issues to be adjudicated, including that of sealed cover reports, would be formulated first and then specific dates would be given to conducting hearings on different issues. On Thursday, the court is likely to frame various issues associated with the case. Earlier, the court was apprised by different lawyers about the proceedings so far. Central government sought time from the court to get an update on probe by central agencies, including that of bringing back NRIs, who have been named in drugs cases. Senior advocate Anupam Gupta highlighted the importance of issue, especially in view of change of dispensation in Afghanistan and how Punjab has become more vulnerable. Meanwhile, state Congress president Navjot Singh Sidhu on Wednesday tweeted again on the state government’s resolve to fight drugs menace. “STF report on multi-crore Drug racket linked to Majithia will be opened today by Hon’ble High Court. After more than 3.5 yrs of wait Judiciary will name the main culprits A Priority among High Command’s 18 Point Agenda yet Mothers of Punjab are still awaiting action by the State (sic),” he tweeted. Sidhu had led the charge against former CM Captain Amarinder Singh for a tardy probe into drugs cases. After Captain’s ouster, Sidhu and Punjab CM Charanjit Singh Channi had announced a speedy probe.||https://www.hindustantimes.com/cities/chandigarh-news/bhola-drugs-case-no-objection-to-opening-of-sealed-reports-punjab-tells-hc-101634154762841.html
14-10-2021||Chandigarh||50,000 pending VAT assessments, new scheme on the anvil: Manpreet Badal||Lending an ear to the Ludhiana industry, state finance and taxation planning minister Manpreet Singh Badal on Wednesday announced that the state government will unveil a new scheme to settle all VAT assessment cases pending for the last few years and bring a faceless system for taxpayers before Diwali this year. Hundreds of industrialists from across the district attended the meeting chaired by Badal, along with state industries minister Gurkirat Singh Kotli and food and supply minister Bharat Bhushan Ashu. Making a call to the industry to re-impose their faith in Congress in the upcoming elections, Badal said all issues pertaining to VAT will be elaborately discussed in the next cabinet meeting. “A scheme will be effectively rolled out to settle around 50,000 pending VAT assessments,” he said, adding, “A faceless system would also be rolled out to assess the taxes to ensure industrialists do not face any kind of harassment in the government offices.” Manpreet said he would be touring all major industrial towns in the next 10 days to address issues of the industrialists. ‘Unfortunate that 80% state dependent on coal for power’ Manpreet said the state government has taken up the coal-shortage issue with the union government. “It is unfortunate that 80% of the state is dependent on coal for power. Coal is not the future, solar and gas is,” he said. Food, civil supplies and consumer affairs minister Bharat Bhushan Ashu said the Ludhiana municipal corporation would spend ₹15 crore and Improvement Trust would give ₹10 crore for infrastructure development in industrial areas/focal points. Industries and commerce minister Gurkirat Singh Kotli announced to set up a new focal point in Khanna soon and a grant of ₹20 crore would be issued for the infrastructure development of the existing focal point. Factionalism evidentFactionalism in Congress came to the fore when a number of leaders, including KK Bawa, chairman of Punjab State Industrial Development Board (PSIDC), and Amarjeet Singh Tikka, chairman of Punjab Medium Industrial Development Board (PMIDB) were left fuming, claiming that they were not invited for the event even though they hold important posts pertaining to industry. “As many as eight of us holding important posts were not invited,” said Tikka.||https://www.hindustantimes.com/cities/chandigarh-news/50000-pending-vat-assessments-new-scheme-on-the-anvil-manpreet-badal-101634154761776.html
14-10-2021||Chandigarh||Ludhiana players bag 30 medals in north zone karate championship||Karate players brought laurels to the district as 30 players won medals, two gold, 11 silver and 17 bronze, at the north zone karate championship organised at Chandigarh University, SAS Nagar, from 8 to 10 October.The winners were felicitated by the district sports officer, Ravinder Singh at the Guru Nanak Stadium on Wednesday.As many as 500 players from various states of the north zone participated in the tournament.Thirty-one players from Ludhiana represented Punjab in the championship. The state bagged the second spot in the championship.General secretary of the Ludhiana district karate association Ashok Chohan said Ludhiana players played a key role in clinching the second spot for the state.District sports officer Ravinder Singh congratulated the players and the coaches.Vice-president of the association Rakesh Kumar along with coaches Raju Bharti, Gagandeep Kumar, Manoj Kumar, Chuninda Chauhan, Harkaran Singh, Sahil Kumar were present at the prize distribution function.Results: Kabir Malhotra and Nikhil won the gold medal.Vidhi Gulati, Chuninda Chohan, Sahil Kumar Harmanveer Singh, Gursahib Singh, Sahajleen Kaur, Vivaan Jindal, Rihan Malhotra and Mahesh Kumar Kanda clinched the silver medal.Kanishk Gupta, Ayansh Nitin Kataria, Tanush Lekhi, Magar Singh, Hunar Goswami, Arhaan Malhotra, Parth Goswami, Paramvir Singh, Rishit Bhatia, Mohit Kumar Kanda, Uttkarsh Jain, Arth Antwal, Hiya Sarkar, Inayata Arora, Anushka Antwal, and Shatakshi Singh won the bronze medal.||https://www.hindustantimes.com/cities/chandigarh-news/ludhiana-players-bag-30-medals-in-north-zone-karate-championship-101634154584065.html
14-10-2021||Chandigarh||Punjab’s coal-fired power plants left with just 2-day stock||The coal stock situation in Punjab continued to remain critical on Wednesday as the private and state-owned thermal plants were left with fuel reserves for not more than 2 days.Punjab State Power Corporation (PSPCL) chairman-cum-managing director (CMD) A Venu Prasad said that despite shortage of fuel, the utility supplied 9,352 megawatt (MW) in the state the previous day.“We will purchase about 1,800 MW from the power grid at ₹10.55 per unit on Thursday. The coal stock situation is still critical in all thermal power plants in Punjab. Just 13 rakes of coal were received on Tuesday against the total requirement of 22 rakes. The supply is less but it is consistent,” he added. The coal situation will improve in the coming days, he claimed. “The duration of power cuts was lesser on Tuesday due to improved power availability as an additional unit each of the Ropar thermal plant and the Anandpur Sahib hydel project started 84 MW power generation after repair of channel. Besides, a unit of GVK Project was made operational,” Prasad said. He appreciated the efforts of engineers and officials for their “hard work, effective planning and continuous monitoring” for the repair of channel of the Anandpur Sahib hydel project. Per unit cost from the project is 25 paise. Sufficient power was being supplied to basmati and vegetable-related feeders, he added.||https://www.hindustantimes.com/cities/chandigarh-news/punjabs-coal-fired-power-plants-left-with-just-2-day-stock-101634154521664.html
14-10-2021||Chandigarh||Poonch encounter: Thousands converge on Kapurthala village to pay homage to slain naib subedar Jaswinder Singh||Naib Subedar Jaswinder Singh, who laid his life in a gunfight with terrorists in Jammu and Kashmir’s Poonch district, was cremated with full military honours at his native village Mana Talwandi in Kapurthala district on Wednesday. The body of Jaswinder Singh, a Sena Medal awardee for bravery, was brought to Mana Talwandi, where thousands of people gathered to have a last glimpse of the slain soldier. Besides army officers, Punjab cabinet minister Rana Gurjeet Singh and district civil and police officials paid tributes to Jaswinder Singh. Deputy commissioner Deepti Uppal handed over a condolence message of Punjab governor Banwari Lal Purohit to the bereaved family. Punjab chief minister Charanjit Singh Channi has announced that Jaswinder Singh’s family would be given ₹50 lakh as ex gratia besides a government job. Describing the sacrifice of as a milestone for the younger generation, Rana Gurjit said people of Punjab have inherited a deep legacy of sacrifices for the country. He also urged the Union government to extend maximum assistance to the family. Shiromani Gurdwara Parbandhak Committee (SGPC) president Jagir Kaur also laid wreath on the body.||https://www.hindustantimes.com/cities/chandigarh-news/poonch-encounter-thousands-converge-on-kapurthala-village-to-pay-homage-to-slain-naib-subedar-jaswinder-singh-101634154343598.html
14-10-2021||Chandigarh||Poonch encounter: Naik Mandeep Singh cremated with full state honours at Gurdaspur village||The mortal remains of Naik Mandeep Singh, who was killed in a gunfight with terrorists in Poonch district of Jammu and Kashmir, were cremated with full state honours at his native village Chatha in Gurdaspur district on Wednesday.A contingent of the Sikh regiment along with the soldier’s mother Manjit Kaur and wife Mandeep Kaur gave salute to the slain soldier’s mortal remains. People of the area gathered at the village in large numbers to pay tributes to the braveheart as soon as his mortal remains reached there. On behalf of Punjab chief minister Charanjit Singh Channi and the state government, cabinet minister Tript Rajinder Singh Bajwa attended the funeral. He also offered condolences to the bereaved family.Brigadier Narinder Singh and other officers of the Sikh regiment paid their tributes.“The Punjab government stands with the soldier’s family in this hour. The CM has already announced ex gratia of ₹50 lakh and a government job to one of the members of the family. Besides, a memorial will be raised after the soldier as per the family’s wishes,” the minister said on the occasion.Mandeep’s brother Jagroop Singh, who is also an armyman, attended the funeral rites. People raised slogans hailing the supreme sacrifice of Mandeep. His mother also shouldered the coffin when being taken to the cremation ground. Garlanding the mortal remains, she said she was proud of her son.||https://www.hindustantimes.com/cities/chandigarh-news/poonchencounter-naik-mandeep-singh-cremated-with-full-state-honours-at-gurdaspur-village-101634154101766.html
14-10-2021||Chandigarh||With resumption of sports activities, Ludhiana receives ₹52,000 grant||With the resumption of all sporting activities in Punjab, the state director sports has released an initial grant of around ₹51,900 for the district, which will be used for the purchase of equipment for sports centres. Sports centres in the state, which had been shut down to contain the coronavirus pandemic, were allowed to open from October 11 and state director sports DPS Kharbanda had released a collective grant of ₹8.5 lakh, a portion of which had been transferred to district sports officers. A senior district sports official said, “An estimated budget required to update and purchase equipment at sports centres was sought from each district. We had sought ₹51,900 to buy equipment for athletics, volleyball, and football among other things. Since the budget has been sanctioned, we have placed an order for the equipment.” In a recent order, the Punjab state institute of sports directer had asked Punjab Institute of Sports (PIS) coaches to direct players aged 14 and above to report to their respective centres, while directing the centre to ensure that Covid norms are followed. “All the trainees are directed to bring an RT-PCR test report along with vaccination certificates attesting that they have been administered at least one dose of the vaccine. Trainess who do not fulfil the requirement will not be allowed to enter the hostel”, read the order. Meanwhile, Jasbir Singh, centre in-charge of the local training centre of the Sports Authority of India (SAI) has sought permission from the local deputy commissioner to open the sports training centre (STC) hostel and resume routine sports activities.He has also requested the DC to issue guidelines or SOPs for the same at the earliest.“The sports staff and the coaches will also undergo mandatory RT-PCR test”, said an official.||https://www.hindustantimes.com/cities/chandigarh-news/with-resumption-of-sports-activities-ludhiana-receives-52-000-grant-101634153621847.html
14-10-2021||Chandigarh||Classical dancer Mallika Sarabhai holds session at Chitkara College of Education||Renowned Indian classical dancer, actor and activist Mallika Sarabhai and author, educator and historian Vikramjit Singh Rooprai conducted expert sessions on performing arts at the Chitkara College of Education on Tuesday. They helped the new batches of bachelor of education and master of education get conditioned to the use of performing arts as a classroom pedagogy-restructuring tool, through highly enriching and engaging sessions on “edutainment katha” and “the art of storytelling in teaching.”The speakers said, “Theatre and performing arts are evocative teaching methodologies, which not only engage the creative side of the brain, but also provide an ideal balance in the students’ patterns of study. As it us easy for children to become swamped in a sea of theory, experiential learning helps to rejuvenate and engage the students.” Addressing the new batches at the orientation programme, the pro-chancellor Madhu Chitkara said it is very important to keep pace with the latest educational trends and techniques when teaching the millennial and digital natives. “The students these days have a very short attention span and it becomes exigent for an educator to formulate captivating lessons for the dynamic learners. However, the inclusion of performing arts in education provides pupils with an excellent opportunity to enthral their mind, body and emotions into a collaborative expression. Our pedagogy maestros for the day, Mallika Sarabhai and Mr Vikramjit Singh Rooprai, magnificently depicted the same in their instructive expert talk and workshop,” Chitkara.||https://www.hindustantimes.com/cities/chandigarh-news/classical-dancer-mallika-sarabhai-holds-session-at-chitkara-college-of-education-101634153261838.html
14-10-2021||Pune||Focus on students, not hotel with liquor licence: Bombay HC to Pune school||MUMBAI:It is better that educational institutions inculcate students with strong moral values to prepare them to face challenges in life rather than worry about the effect of a hotel with a liquor licence in the same neighbourhood as the school, the Bombay high court has said“It is thus more important that an endeavour of an educational institution should be to impart education, so that the basic human values and good virtues are inculcated in the students, to make them ideal citizens,” justice GS Kulkarni said, his parting advice as the court on Tuesday rejected a request by school management’s executives against the liquor licence.“It is thus a sincere hope, that these words fall on the receptive ears of the institution and the institution creates a situation for itself, that it would feel proud of its students.”The case revolved around an attempt by a hotel located in a village in Pune district’s Junar subdivision to shift the business to the town within the limits of Junar municipal council. The request for transferring the liquor licence was rejected by the district collector. The hotel owner went in appeal to the Maharashtra commissioner of excise, who reversed the collector’s order and granted him permission.Some office-bearers of the school petitioned the high court, challenging the new order.Justice Kulkarni rejected the argument that cited the likelihood of a law and order problem due to the hotel’s liquor licence, noting that there was no such apprehension expressed by the police and this was “a total figment of imagination of the petitioners”.“In the present facts, the petitioner’s institution ought not to have formed such opinion that the education being imparted by their educational institution was so fragile that the students would get easily influenced by a restaurant serving liquor in the vicinity,” he said.This, the court said, was for two reasons.Firstly, this educational institution was never bothered about a similar restaurant having a liquor licence functioning in the vicinity for the last 10 to 12 years. Secondly and most importantly, the court said, if the quality of learning and inculcation of moral values in the children was of a standard, the institution ought not to worry at all about any student being adversely affected by any such place in the vicinity of the school.||https://www.hindustantimes.com/cities/pune-news/focus-on-students-not-hotel-with-liquor-licence-bombay-hc-to-pune-school-101634153149009.html
14-10-2021||Chandigarh||Punjab police reshuffle: 14 SSPs shifted, Rai posted as intelligence chief||In a major reshuffle in Punjab Police, the state government on Wednesday transferred 14 SSPs and posted ADGP AS Rai as the new intelligence chief. Rai will replace Varinder Kumar, who has now been posted as director, bureau of investigation, replacing ADGP Arpit Shukla. Shukla will now be ADGP (welfare), replacing V Neerja who has now been transferred as ADGP (NRI). The order states that Jitendra Jain will now be ADGP (Powercom) under DGP Powercom, whereas Shashi Prabha Dwivedi has been posted as ADGP (HRD). Rakesh Chandra has now been posted as ADGP (policy and rules) whereas Mohnish Chawla will now be IGP (border range) replacing SPS Parmar, who has now been transferred as IGP Ludhiana Range. Mukhwinder Singh Chinna has now been posted as IGP Patiala range, Shive Verma as IGP (law and order), Rakesh Aggarwal as IGP (counter Intelligence and OCCU), Kaustabh Sharma as IGP (headquarters), Babu Lal Meena as DIG PAP, Gurpreet Toor as DGI MRS-PPA Phillaur, Gurpreet Singh Gill as DIG commando, Sanjeev Rampal as DIG (training). Harcharan Singh Bhullar will now be SSP Patiala, replacing Sandeep Garg who has now been posted as SSP, Mansa. Rakesh Kaushal will now be SSP (Amritsar rural), Varun Sharma as SSP Faridkot, Harmandeep Singh Hans as SSP Ferozepur, Kanwardeep Kaur as SSP (SBS Nagar) replacing Harmanbir Singh Gill, who is the brother of Khadoor Sahib MP, Jasbir Singh Dimpa. Gill had recently had a tussle with Nawanshahr MLA Angad Singh over a case against one of his supporters following which the MLA even staged a dharna outside the SSP office. Gill has now been posted as AIG PAP. The orders posted Alka Meena as SSP Barnala, Ravjot Grewal as SSP Malerkotla, Mukhwinder Singh Bhullar as SSP Batala, Surjit Singh Mand as SSP Moga, Sarabjit Singh as SSP Muktsar Sahib, Harwinder Singh Virk as SSP Taran Taran, Rajbachan Singh Sandhu as SSP Ludhiana Rural and Kulwant Singh Heer as SSP Hoshiarpur. SSP Mansa Narendra Bhargav will now be Commandant 3rd Battallion Ludhiana whereas SSP Moga, Dhruman Nimbale has now been posted as AIG (counter intelligence and OCCU).||https://www.hindustantimes.com/cities/chandigarh-news/punjab-police-reshuffle-14-ssps-shifted-rai-posted-as-intelligence-chief-101634153141608.html
14-10-2021||Chandigarh||Haryana identifies spot for heli hub in Gurugram||The Haryana government has identified a spot in Gurugram for establishing a heli hub. A proposal in this regard will soon be sent to the central government.An official spokesperson said Haryana chief minister Manohar Lal Khattar on Wednesday met Union civil aviation minister Jyotiraditya M Scindia in New Delhi regarding various civil aviation projects of Haryana.The spokesperson said discussions regarding reduction of VAT rates on air turbine fuel, setting up heli hub in Gurugram, civil aviation university, drone school, and a satellite centre in the state were held.The state government has also decided to reduce the VAT rates on air turbine fuel from 20% to 1%.Besides, development of integrated aviation hub in Hisar, airstrips in Karnal and Ambala, pilot training schools in Bhiwani and Narnaul and air services routes in Haryana were also discussed.Later, the CM said the state government will soon identify land for setting up a heli hub. He said the heli hub in Gurugram will facilitate intercity and intracity helicopter service.||https://www.hindustantimes.com/cities/chandigarh-news/haryana-identifies-spot-for-heli-hub-in-gurugram-101634152721726.html
14-10-2021||Lucknow||UP assembly to elect deputy speaker on October 18||It’s official now. The Uttar Pradesh assembly will elect Nitin Agarwal as its deputy speaker on October 18, with the new deputy speaker holding office for less than five months.“Yes, Nitin Agarwal will be the choice for election to the post of deputy speaker of state assembly,” said Suresh Khanna, minister for finance and parliamentary affairs.The state assembly was constituted on March 14, 2017 and the end of its five-year term will mark the end of term of the new deputy speaker.“The Hon’ble Speaker has fixed the date of 18th October, 2021 for the election of Deputy Speaker of the seventeenth Vidhan Sabha of Uttar Pradesh. Accordingly this election will be held at the Vidhan Sabha hall, Lucknow on the 18th October, 2021 at 11AM,” said Pradeep Kumar Dubey, principal secretary, legislative assembly, Uttar Pradesh, in a press statement, here, on Wednesday.Dubey further said the nomination papers to be obtained from his office may be submitted to him on October 17. “Any member of the house may nominate another member for this election by submitting the prescribed nomination paper, duly filled in, to the Principal Secretary, Vidhan Sabha, 11AM to 1PM, on 17th October 2021. Nomination forms may be obtained from the office of Principal Secretary Vidhan Sabha,” said Dubey.As per tradition, the Deputy Speaker is elected from among the members of the main opposition party. Will Samajwadi Party member Nitin Agarwal be elected the deputy speaker of state assembly?“I have no indication about my likely election to the post of deputy speaker. But if given any responsibility, I will perform duties to the best of my ability,” said Agarwal, who is being considered the frontrunner for the post. Along with his father, Naresh Agarwal, Nitin joined the BJP in 2018. The Samajwadi Party’s petition seeking disqualification of Nitin Agarwal was rejected recently.“The Deputy Speaker can be elected from any political party, though traditionally, a member of an opposition party is elected to the post. It’s not late for the election of deputy speaker though the same should have been done much earlier. No Deputy Speaker was elected till the end of term of state assembly during the term of many assemblies in the past,” said Ammar Rizvi, who was UP assembly deputy speaker from September 28, 2001 to January 20, 2002. Chief minister Yogi Adityanath, who completes his five-year term on March 19, 2021, recently expanded his ministry by inducting seven new ministers. New ministers will be effectively in office for a few weeks as the Election Commission of India’s model code of conduct is likely to come into force in the last week of December 2021 or early in January 2022.Will the opposition support the move? “We are not aware of the agenda of the assembly session. A meeting of the business advisory committee has been apparently convened on October 17, 2021. As per tradition, the deputy speaker is elected from the main opposition party. The election is done in consultation with leaders of opposition parties. If they want to elect a member of Samajwadi Party as the deputy speaker they would have consulted our leadership,” said leader of opposition, Ram Govind Chaudhary.“We are not aware of the state assembly’s agenda so far. We will take a call once the agenda is finalised,” said Congress Legislature Party leader Aradhna Mishra ‘Mona’.The state government, meanwhile, proposes to table replacing bills to the ordinances that have been promulgated by the governor after the last session of the state assembly.“Everything is being done keeping in view forthcoming assembly elections. Rajesh Agarwal was dropped as minister for finance earlier. The BJP government wants to appease the ‘bania’ community and the likely election of Nitin Agarwal as deputy speaker is a move in the same direction,” said Professor SK Dwivedi, former head of department, political science, Lucknow University.||https://www.hindustantimes.com/cities/lucknow-news/up-assembly-to-elect-deputy-speaker-on-october-18-101634152421742.html
14-10-2021||Chandigarh||Karnal DC takes action over irregularities in procurement||Taking a strict note of contravention of the procurement norms, Karnal deputy commissioner (DC) Nishant Kumar Yadav has ordered registration of an FIR against a mandi supervisor, auction recorder, two computer operators and 28 arhtiyas of Gheer grain market in district.The action was taken after the DC, after an inquiry, found that the arhtiyas, with the help of officials, had procured paddy of non-registered farmers in violations of the procurement norms.An official statement issued by the DC office stated that the DC has also directed the procurement agencies to serve show-cause notices to 18 other commission agents for mismatch of the stock and procurement record.Irregularities were also detected in records of nine rice millers, who were procuring paddy for government agencies, and action has been recommended against them.The DC had found that paddy of farmers from outside (non-registered) was being procured with the help of mandi officials including mandi supervisor Dheeraj Kumar, auction recorder Dharamvir Singh, computer operators Deepak and Ansul and 28 commission agents.Besides registration of the FIR, the DC has also ordered cancellation of license of these arhtiyas.During investigation, it was found that the officials helped the farmers generate gate passes, read the statement.Kaithal farmers hold protestAccusing the procurement agencies of forcing farmers to sell their produce below the MSP, farmers held a protest outside the new grain market in Kaithal.Farmers alleged that the rice millers, who were procuring paddy for government agencies, were procuring paddy at ₹1,700 to ₹1,900 against the MSP of ₹1,960.The farmers continued their protest for around five hours and following an assurance from the mandi officials, they ended the protest.||https://www.hindustantimes.com/cities/chandigarh-news/karnal-dc-takes-action-over-irregularities-in-procurement-101634152245193.html
14-10-2021||Chandigarh||Dhankar gives ‘break false anti-farm law narrative’ call to BJP rank and file||Haryana BJP president Om Prakash Dhankar on Wednesday called upon the “vigilant” rank and file of the party to take a pledge to counter the “false narrative” against the Centre’s three farm laws and applauded the state government for its “political will” while taking a slew of pro-farmer steps.In his presidential address during the day-long Haryana BJP’s regional council meeting at Panchkula held for the first time after 1982, Dhankar set the agenda for expanding organisational base on strength of “service, ideology and ideals” and the “dedicated” foot soldiers of the party, besides good governance of the Manohar Lal Khattar-led government.“Let’s take a vow to break the false narrative against the farm laws. Vigilant BJP workers will counter this misinformation against the farm laws... keep the Hindi version of the law with yourself and spread it across the state,” Dhankar told the gathering in his near hour- long address.Taking a dig at those terming the three farm laws as black laws, he quipped: “Kali to hamari murrah bhi hai (Our murrah buffalo is also black)... but see the milk yield... colour doesn’t matter... we should focus on the usefulness...”During the day, BJP held three sessions till late evening to formulate the road map for the party activities and discussed the strategy to reach out to people informing them about policies and programmes of the state government that will complete seven years in power on October 27.Among those attending this programme were key BJP leaders and workers including chief minister Manohar Lal Khattar, cabinet ministers, MLAs, MPs, heads of frontal organisations, districts presidents, etc.The state BJP chief said the farm laws were brought in for the welfare of the cultivators, but a “misleading narrative” was launched and the Opposition started spreading lies that MSP will be stopped and mandis will be disbanded.“Now, they have stopped talking about MSP and mandis. It is our responsibility to break the back of this false narrative. The MSP had started from Haryana and there is no question of stopping MSP and closing mandis. They should demand MSP for bajra in Rajasthan and MSP in the states where it is not given. Haryana procures the highest number of crops under the MSP,” he said.Pats CM KhattarDhankar said by transferring MSP directly to the bank accounts of the cultivators despite protests from “a particular lobby”, the Haryana government had displayed its “political will”.He said Haryana was the first state that started releasing the MSP money directly into the farmers’ bank accounts and discontinued the earlier practice of releasing the money to arhtiyas.Not just this, he said, the Haryana government was also the first in the country to start paying interest to farmers and others for delay, if any, in releasing payments related to food grain procurement.The state BJP chief told the gathering that in the past seven years, the BJP had launched “numerous” pro-people programmes and asked the party workers to popularise “seven key reforms of seven years” rule of the party in Haryana among people.Ahead of October 27, when BJP will complete seven years in power in Haryana, he said 70,000 party workers will call on seven lakh people in a day, while seven ministers will hold press conferences.“Our government has done an extraordinary job. The scenario of Haryana has changed. Our sports policy is being discussed across country and other states are copying our transparency driven policies. Our government has been rolling out policies and programmes to benefit every section of the society,” Dhankar said. wrapping up his speech amid applause.||https://www.hindustantimes.com/cities/chandigarh-news/dhankar-gives-break-false-anti-farm-law-narrative-call-to-bjp-rank-and-file-101634151884175.html
14-10-2021||Chandigarh||19 candidates in fray for Ellenabad bypoll||As many as 19 candidates are in fray for the Ellenabad bypoll which is scheduled on October 30, said election officials after two candidates withdrew their nominations on the last day. Counting of votes will take place on November 2.The seat fell vacant after Indian National Lok Dal (INLD)’s lone MLA Abhay Singh Chautala resigned from the Ellenabad constituency on January 27 in favour of farmers protesting against Centre’s three farm laws. He is seeking re-election for a fourth consecutive term from this rural dominated seat, which is considered his family’s bastion. He is pitted against BJP’s Gobind Kanda and Congress’ Pawan Beniwal, both turncoats.Farmers protesting against the farm laws have installed banners, banning the entry of BJP candidate Gobind Kanda, in more than half a dozen villages of Ellenabad. These villages are Amritsar Kalan, Raipur, Budi Mari, Moju Khera, Sant Nagar, Damdma, Jivan Nagar, Sant Nagar and other villages.Rakesh Kumar, of Amritsar Kalan, said they have decided to boycott the entry of BJP-JJP joint nominee Gobind Kanda in their village on directions of the Samyukta Kisan Morcha (SKM).“We have decided to teach BJP a lesson in this bypoll. Farmers are upset with the saffron party as they have failed to end the deadlock with the protesters. We never thought this agitation will continue for such a long time as we had faith in the BJP government that they will resolve the issue,” he added.Ravi Azad, state youth president of Bharatiya Kisan Union, said many leaders of the SKM are canvassing the villages of Ellenabad constituency and asking people to boycott the BJP candidate.“We will not campaign in favour of any candidate but will oppose BJP’s Gobind Kanda. More than 10 villages have installed banners in the constituency banning entry of BJP-JJP leaders,” he added.Sirsa deputy commissioner (DC) Anish Yadav on Tuesday had conducted a meeting with former sarpanches and nambardars of all 74 villages of Ellenabad constituency and urged them to cooperate with the administration in conducting the bypoll peacefully.“As many as 15 companies of paramilitary forces have been deployed in the constituency. We have urged the former sarpanches and nambardars to ensure that no untoward incident takes place. We have also appealed to the general public not to create hurdles in canvassing of candidates,” the DC added.||https://www.hindustantimes.com/cities/chandigarh-news/19-candidates-in-fray-for-ellenabad-bypoll-101634151702629.html
