20-12-2021||News||2021 in numbers: Central government’s receipts||The Covid-19 pandemic has taken a toll on livelihoods as well as human life. As earlier stories in this series have shown, it has hurt jobs and incomes. There is a view among economists that this strain put on livelihoods by the pandemic, which continues to a lesser degree in even the current financial year because of new variants of the Sars-CoV-2 virus, can be reduced by the government putting money in the hands of the people. Any government’s capacity to spend, however, depends on how much it earns. The central government’s receipts also took a hit in the last financial year. This is what receipts look like in the current financial year that began in April.
20-12-2021||News||Mind The Gap | The case for and against raising the marriage age for women||THE BIG STORY
20-12-2021||India||PM Modi underscores importance of ties with Central Asian nations in meeting with FMs||India attaches importance to its relations with the five Central Asian states, which are part of the country’s extended neighbourhood and connectivity is key to enhancing economic cooperation with the region, Prime Minister Narendra Modi said on Monday.Modi spoke of the importance of India’s relations with Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan and Uzbekistan when the foreign ministers of the five countries jointly met him. The foreign ministers were in India for the third edition of the India-Central Asia Dialogue with their counterpart S Jaishankar.Jaishankar and National Security Adviser Ajit Doval were also present at the meeting between Modi and the foreign ministers.Modi “emphasised the importance that India attaches to its long-standing relations with [the] Central Asian countries, which are part of its ‘extended neighbourhood’”, an official statement said. “He also underscored the potential of enhanced economic cooperation between India and Central Asia, and the role of connectivity in that regard,” the statement added.Modi also conveyed his felicitations to the ministers on the 30th anniversary of the independence of the Central Asian states. He recalled his visit to all the Central Asian states in 2015 and subsequently to Kazakhstan, Uzbekistan and Kyrgyzstan.He also pointed to the importance of maintaining cultural and people-to-people contacts between India and Central Asia, in view of the popularity of Indian films, music and yoga in the region.The India-Central Asia Dialogue has given impetus to the “excellent bilateral relations between India and Central Asian countries”, the statement said. The visiting ministers briefed Modi on their deliberations during the dialogue, which focused on trade, connectivity, development partnership and regional developments, including the situation in Afghanistan.According to a joint statement issued after the dialogue on Sunday, India and the Central Asian states pushed for concerted action against all terror groups, saying Afghanistan’s soil must not be used for planning or financing terror attacks. They also pledged to provide immediate humanitarian aid to the Afghan people.The fallout of the Taliban takeover of Kabul on regional security, post-pandemic recovery and measures to boost regional connectivity and trade were discussed during the dialogue. India welcomed the interest shown by the Central Asian states in using a terminal at Iran’s Chabahar port, which is operated by an Indian company, for trade. Top security officials of all the Central Asian states attended a regional conference on Afghanistan hosted by India on November 10. The leaders of the five Central Asian countries are expected to be chief guests at next year’s Republic Day celebrations, reflecting the importance attached by India to the region. 
20-12-2021||India||Gay couple ties the knot in Hyderabad, say no permission needed for ‘happiness’||Touted as the 'first' wedding of gay men in Telangana, Supriyo Chakraborty and Abhay Dang, entered into wedlock making their nearly decade-long relationship official. Supriyo said the wedding has sent out a strong message to everybody that no one's permission was needed to be happy. The gay men are believed to be first gay couple of Telangana. Though the marriage could not be registered, the ceremony was sheer celebration of being together along with family and friends, he added. Supriyo and Abhay aged 31 and 34 respectively, exchanged rings and took vows at a marriage ceremony that took place in a resort near here on Saturday. The ceremony was officiated by gay couple's friend Sophia David, who is also from the LGBTQ community. On the occasion, the gay men celebrated their togetherness with close friends and family members. Supriyo told PTI: "It was a two-day (December 17 and 18) event. It was an event where all our close friends and families were there. We started with Mehndi and Sangeet. Me and Abhay are from different states. He (Abhay) is Punjabi and I am Bengali. We tried to put in all the essence possible...including the dresses we were wearing. On Saturday we had a Haldi ceremony and Sophia David officated our wedding." Supriyo and Abhay, professionals in hospitality and information technology sectors respectively, met through an online dating app in 2012 and have been living together since then. Supriyo said the wedding celebrations was to "celebrate our union," with friends and family. Once the same sex marriages are legalised in the country they would register their wedding, he said.||https://www.hindustantimes.com/india-news/gay-couple-ties-the-knot-in-hyderabad-say-no-permission-needed-for-happiness-101640010823196.html
20-12-2021||India||Delhi’s rural villages face an urbanisation challenge||In 2013, the union government notified the land pooling policy for planned development in Delhi’s rural areas, looking to meet a growing housing requirement.
20-12-2021||India||‘Aap logon kay burey din aayenge’: Jaya Bachchan loses her cool in Rajya Sabha, curses treasury benches||Samajwadi Party (SP) leader Jaya Bachchan was on Monday involved in a verbal spat with the treasury benches over an alleged "personal" remarks against her even as she asked the Chair not to take sides of any particular party.Jaya Bachchan's remarks came when she was asked by the Chair to participate in the discussion on the 'Narcotic Drugs and Psychotropic Substances (Amendment) Bill, 2021.The member of Parliament called out the Chair presided by Bhubaneswar Kalita for not listening to the opposition side."I don't want to thank you because I don't know whether I should remember when you used to walk into the Well shouting...or today when you are sitting in the chair," she said when called to speak on the bill.A verbal spat started after Bharatiya Janata Party (BJP) lawmaker Rakesh Sinha objected to Bachchan’s remarks against the Chair.As chaos ensued, she alleged that personal remarks were made against her. "I expect you to take action on the comment he made on me and my career. You want to be fair. You are sitting on the chair, you don't belong to any party, sir," she said."How can they make personal remarks in the House? Aap logon kay burey din aayenge (Your bad days will come soon), I curse you," she said.Kalita urged Bachchan to confine herself to the Bill being debated as she responded by saying that efforts were being made to stifle the voice of opposition members. He also announced that the remarks which were not suitable would be expunged from the record.As the situation almost seemed out of control, Kalitha adjourned the House till 5 pm, the third adjournment of the day.(With agency inputs)||https://www.hindustantimes.com/india-news/jaya-bachchan-loses-her-cool-in-rajya-sabha-curses-treasury-benches-101640009716326.html
20-12-2021||India||NC rejects Delimitation Commission draft report, lashes out at Union minister||The National Conference said on Monday it will not be a signatory to the draft report of the Delimitation Commission on Jammu and Kashmir in its present form after the panel proposed six additional assembly seats for the Jammu region and one for Kashmir.The National Conference also lashed out at Union minister of state in the Prime Minister’s Office (PMO) Jitendra Singh for claiming its leaders were “satisfied” by the parameters followed by the Delimitation Commission calling it “malicious".“Misrepresenting and distorting the facts with malicious intention! Very misleading statement. We have clearly expressed our resentment over the draft of the Delimitation Commission, the biased process of seat sharing. The party will NOT be a signatory to this report,” the NC said on Twitter.The panel, which is headed by former Supreme Court judge Ranjana Desai, held its second meeting on Monday in New Delhi. After Monday’s meeting, the assembly seats rose to 43 in the Jammu region and 47 in the Kashmir region, people familiar with the developments told news agency PTI.It has also proposed reserving 16 constituencies for Scheduled Castes and Scheduled Tribes.The People’s Democratic Party, Jammu and Kashmir Apni Party and the People's Conference have also protested against the draft recommendations which will shape the electoral map of Jammu and Kashmir.Three Lok Sabha members of the NC with party chief Farooq Abdullah attended the commission’s second meeting for the first time along with Union minister Singh and Bharatiya Janata Party’s Jugal Kishore Sharma. The commission earlier met in February.“The associated members regardless of their party and political affiliations not only appreciated the work done by the Delimitation Commission but also committed that they would in the future also extend their cooperation for the rest of the exercise,” Singh was quoted as saying by news agency ANI.The panel has been formed by the Centre in order to ensure the delimitation of assembly and parliamentary constituencies in the Union territory of Jammu and Kashmir.||https://www.hindustantimes.com/india-news/nc-rejects-delimitation-commission-draft-report-lashes-out-at-union-minister-101640007848467.html
20-12-2021||India||Come up with concrete instructions on fate of Rohingyas in jails: Gauhati HC tells Assam govt||The Gauhati High Court has directed the Assam government to issue ‘concrete instructions’ on the fate of 12 Rohingyas lodged in two jails for the past 12 years. The division bench of justices N Kotiswar Singh and Malasri Nandi issued the order last week on two separate petitions filed by the Rohingyas who hail from Myanmar seeking either refugee status in India or deportation to the neighbouring nation. “Since the petitioners have been languishing in jail for a long time, this court would not expect any further delay in the actions to be taken by the state authorities and would expect that the state government would come up with concrete instructions by the next date,” the order issued on December 16 read. The court issued the directions following a request by Anita Verma, special counsel for foreigners’ tribunals in Assam, seeking two weeks by the Assam government on either to grant refugee status or deport the petitioners back to Myanmar. The matter will come up for hearing again on January 10 next year. One of the petitions was filed in 2017 by 10 Rohingyas, who belong to two related families, and are lodged in Tezpur jail in central Assam, which also houses other foreigners, for several years. The petitioners - Saidur Rahman, his wife Tahara Begum and their three children, his brother Mahmad Ulla, his wife Rumana Begum and their three children - belong to Coundang village in Buthidaung of Rakhine state of Myanmar. They were arrested for entering India in 2009 without valid documents and though they have served the sentences of 6 months imposed for illegal entry to the country, they have been languishing in jail without release. The other petition was filed in 2017 by Azizul Haque (a Rohingya from Myanmar) and Md Habib Ullah (whose nationality is yet to be ascertained)—both lodged in the Goalpara district jail, seeking deportation to Myanmar. Like the previous case, they too were arrested in 2009 for entering India illegally without valid documents and were sentenced to 6 months imprisonment but despite serving their sentences, they are still lodged in jail. 
20-12-2021||India||Govt: Over 2,000 people lost lives in natural disasters in 2021-22||Over 2,000 people lost their lives due to cyclonic storms, heavy rains, floods and landslides during 2021-22, the government said on Monday.According to data shared by the Jal Shakti Ministry in response to a question in Rajya Sabha, Maharashtra accounted for the highest number of deaths at 489, followed by 162 each in Gujarat and Uttar Pradesh.A total of 2,002 people lost their lives due to cyclonic storms, heavy rains, floods and landslides during 2021-22, the data stated.Responding to another question, Union Jal Shakti Minister Gajendra Singh Shekhawat said under the Namami Ganga Programme, so far, 357 projects have been sanctioned at an estimated cost of ₹30,780 crore. Of these, 178 projects have been completed and made operational.In a written response, Shekhawat said 157 sewerage infrastructure projects from among these have been taken up with a sanctioned cost of ₹24,249 crore for the creation and rehabilitation of 4,952 million litres per day (MLD) of sewage treatment plant (STP) capacity and laying of 5,212 km sewerage network."Out of these, 74 projects have been completed, resulting in creation and rehabilitation of 1,092 MLD of STP capacity and laying of 3,752 km sewerage network," he said.||https://www.hindustantimes.com/india-news/govt-over-2-000-people-lost-lives-in-natural-disasters-in-202122-101640006129255.html
20-12-2021||India||‘Appeasement politics’: MoS Home Nityanand Rai raps Kerala govt on twin murders||Minister of State for Home Nityanand Rai on Monday asked the Kerala government to ensure a fair investigation into the murder of Bharatiya Janata Party’s OBC Morcha leader Renjith Sreenivasan and said its “appeasement politics” was helping fundamentalist forces.The minister rushed to the state to pay homage to Sreenivasan who was hacked to death in his home in Alappuzha on Sunday allegedly by Social Democratic Party of India (SDPI) workers. SDPI state secretary KS Shan was allegedly killed by RSS-BJP workers on Saturday night and Sreenivasan was killed in an alleged retaliatory attack, police said.“The ongoing investigation is not on the right track. We want a fair investigation and all culprits should be booked. The state government is indulging in appeasement politics which really helped fundamentalist and criminal forces,” he said after paying tributes to the slain leader. He said over 200 BJP workers were killed in the state in the past few years.He said the left front government was trying to dent the popularity of the BJP and resorted to all tricks including protecting people who were involved in the recent killings of two party leaders. Another RSS-BJP leader S Sanjith was stabbed to death two weeks back by an alleged group of SDPI activists in Palakkad. He said the union government was ready for a central agency probe into recent killings if the state was willing. When asked about the SDPI leader’s murder, he refused to comment.The back-to-back political killings within 12 hours shook the state bringing police on their toes. After the twin murder, prohibitory order (Section 144) was clamped in the district and police stepped up vigil to avert further clashes. “We have arrested two persons in connection with the murder of the SDPI leader. And we identified all who participated in the killing of the BJP leader. Both cases will be cracked in a couple of days,” said Additional Director General of Police Vijay Sakhre who is supervising the special investigation team.More than 50 persons were detained in connection with both incidents, he said. The SDPI leader’s body was buried on Sunday and Renjth Sreenivasan’s body was cremated on Monday.Shan was a businessman while Sreenivasan was a lawyer. “Please don’t orphan families in the name of politics. Brutal murder is no answer to political differences. Shan has two minor children and I heard the BJP leader’s daughters were also young. Both families have been orphaned. And this is happening in a state like Kerala. It is a shame,” said H Salim, father of the slain SDPI leader.“He was murdered before my eyes. I pleaded with them not to harm my son but I was threatened and they continued to stab him,” said the mother of Sreenivasan. He was attacked by assailants in his home in the early hours of Sunday.Reports of what is dubbed as revenge political killings often arise from North Kerala’s Kannur which witnessed over 250 murders in last three decades between (CPIM) and RSS. Known as ‘Kannur-model killings’, such eye for eye and tooth for tooth politics, which was previously confined to Kannur, started spilling over to other parts of the state. “In north Kerala parties protect killer squads and usually after every murder the accused list will be provided by respective parties helping real killers to go scot free. Unless parties disown these criminal gangs blood bath will continue. It is sad it is spreading to other areas also,” said political observer and writer Umesh Babu. 
20-12-2021||India||Bharat Biotech seeks trial for intranasal Covid-19 vaccine booster||Indian vaccine maker Bharat Biotech said on Monday it has submitted an application to the country's drug regulator to conduct a late-stage trial for a booster dose of its intranasal Covid-19 vaccine.Indian Covid-19 vaccine makers are lobbying the government to authorise boosters as supplies have far outstripped demand, but the health ministry said there is no immediate plan to approve boosters and the priority remains complete vaccination of eligible adults."We have submitted phase 3 clinical trial application to DCGI (Drugs Controller General of India)," a Bharat Biotech spokesperson said in a statement, adding that an intranasal vaccine as a booster dose will be easier to administer in mass vaccination campaigns.India is yet to approve the use of Bharat Biotech's intranasal vaccine, BBV154. In August, BBV154 had received regulatory approval for mid- to late-stage trials. Local media had reported that the mid-stage trial has been completed.Covaxin, the company's Covid-19 vaccine already approved for emergency-use approval in the county, is administered through an injection.Coronavirus cases in India have fallen sharply since a devastating second wave earlier this year. The South Asian nation has detected over 100 cases of the Omicron variant so far.||https://www.hindustantimes.com/india-news/bharat-biotech-seeks-trial-for-intranasal-covid-19-vaccine-booster-101640004360427.html
20-12-2021||India||How prisoner Sukesh Chandrashekhar pulled off a ₹200 crore heist||Lodged inside Delhi’s high-security Rohini jail, Sukesh Chandrashekhar hit national headlines by pulling off a ₹200 crore con, duping Aditi Singh, the wife of former Ranbaxy promoter Shivinder Mohan. But how did this happen?
20-12-2021||India||Keeping up With UP | The family reconciliation that may change UP’s politics||It was the uncanniest of coincidences, perhaps the kind only Indian, and the politics of Uttar Pradesh in particular, can throw up. On December 16, UP Chief Minister Yogi Adityanath was speaking in the Uttar Pradesh assembly, and took a swipe at his foremost competitor for the top chair, Akhilesh Yadav. He attacked him with an old and practised jibe, but one that would have hurt. “We respect our elders and do not throw out our father and uncle from the party,” Aditayanath said, referring to the seemingly never-ending family feuds within the top echelons of the Samajwadi Party. What Adityanath may not have known was that on the same day, Mulayam Singh Yadav, the founder member of the Samajwadi Party was putting final touches of a script that had begun with handing over the legacy of the party to his son in 2012, but was now culminating in a long-awaited reconciliation between Akhilesh Yadav, and his uncle, the influential Shivpal Singh Yadav.
20-12-2021||India||NCERT trans training manual removed from website wasn’t final, Centre to LS||NEW DELHI: The training manual titled, ‘Inclusion of Transgender Children in School Education: Concerns and Roadmaps, was dropped by NCERT because it had to undergo various stages of finalisation before its release, the education ministry told Parliament on Monday.“It is an academic exercise which has to undergo various stages before it is made a public document and is used for training by different stakeholders,” junior education minister Annpurna Devi told the Lok Sabha in a written reply.“NCERT has been training teachers, teacher educators and school heads on gender sensitization with an all-inclusive approach. The concerns related to transgender children are addressed in different textual and training materials/manuals/modules,” she said in response to a question by Congress member of parliament Adhir Ranjan Chowdhury.Social Justice Matters | On gender, the conservative backlash hits classroomsThe National Council for Educational Research and Training (NCERT) on November 6 removed the teachers’ training manual on the integration of transgender or gender non-conforming students in schools from its website following a request by the National Commission for Protection of Child Rights (NCPCR).NCPCR chairperson, Priyank Kanoongo contended the text of the manual will expose children to “unnecessary psychological trauma” and the idea of removing binaries will supposedly contradict the idea of creating an inclusive environment.NCERT’s decision to remove the manual exposed the government body to sharp criticism from a Madras high court’s justice N Anand Venkatesh on December 6. The judge described the removal of the training manual a “very shocking development” and underlined that if someone really had a grievance, “the same should have been addressed in a proper manner through proper consultation and meetings, and no one can be allowed to arm twist a state-run council into forcibly withdrawing a material that came out after a long study by a committee”.“The report of an expert body after a detailed study cannot be dumped just because a handful of persons are opposed to this very idea of recognising persons belonging to the community,” justice Venkatesh said.||https://www.hindustantimes.com/india-news/ncert-trans-training-manual-removed-from-website-wasn-t-final-centre-to-ls-101640004507232.html
20-12-2021||India||Over 50% fully jabbed against Covid-19, first dose coverage at 88%: Mansukh Mandaviya in Parliament||More than half of the country’s population has been fully vaccinated against Covid-19, Union health minister Mansukh Mandaviya informed the Rajya Sabha on Monday.Mandaviya said the vaccination of 130 crore people in the country was a big challenge compared to other countries with less population. “Still, due to the efforts of our health workers, 88% of the first dose and 58% of the second dose have been taken in the country,” the health minister said.The minister was addressing the lawmakers in the Upper House regarding the Covid-19 situation arising due to the Omicron (B.1.1.529) variant in the country.Also read | Omicron has created lockdown-like situation, avoid Christmas parties: BMC chiefHe also said states and Union territories have sufficient doses of vaccine available with them and the production capacity in the country would be ramped up in the next two months.“Today all states and UTs have adequate quantities of vaccines, 17 crore doses are available with them. Our manufacturing capacity has increased. Today India has the capacity to manufacture 31 crore doses of vaccine every month. In the next 2 months, it will further rise to 45 crore doses per month,” the minister said.Briefing on the Omicron variant, the minister noted that 161 confirmed cases have been identified so far from across the country.“We are monitoring the situation daily with experts. With our experience during the first and second waves (of Covid-19), to ensure that we do not face problems when variant spreads, we have arranged a buffer stock of important medicines,” he said.“To protect against Omicron, we have issued SOP (standard operating procedures) for travellers coming from abroad. I myself also interacted with the states, we are constantly assessing this variant with the expert team,” he added.Meanwhile, the cumulative number of doses administered under the country’s immunisation drive stood at 1,382,083,675, according to the Co-WIN dashboard at 5.05pm.As many as 6,563 people tested positive for the coronavirus disease and 132 people lost their lives in the last 24 hours, the Union health ministry said on Monday.||https://www.hindustantimes.com/india-news/over-50-fully-jabbed-against-covid-19-first-dose-coverage-at-88-mansukh-mandaviya-in-parliament-101640000961068.html
20-12-2021||India||Chidambaram granted a day's exemption in Aircel-Maxis corruption case||Congress leader P Chidambaram was on Monday granted exemption for a day from appearing before a Delhi court in the Aircel Maxis deal case. Noting that the former Union minister was granted anticipatory bail in the matter earlier, the court allowed his exemption application for the day.His son, Karti Chidambaram, who is also out on anticipatory bail in the same case, was asked to file an application seeking regular bail after he appeared before the court.The Central Bureau of Investigation (CBI) and Enforcement Directorate (ED) have filed cases of corruption and money laundering against the Rajya Sabha MP.Special judge MK Nagpal granted the relief to Chidambaram after his lawyer Arshdeep Singh informed the court that he was not able to appear before it since he had a preplanned travelling schedule.The court also directed the probe agencies to supply copies of the charge sheet and documents to the accused and their lawyers. Earlier, the court had directed the CBI and the ED to file a status report in the Aircel Maxis case.The agencies have arrayed several individuals and firms as accused in the charge sheet.The accused appeared before the court in pursuance of summons issued against them after the court took cognisance of the charge sheets filed by probe agencies in the matter.The case relates to alleged irregularities in the grant of Foreign Investment Promotion Board approval in the Aircel-Maxis deal. The approval was granted in 2006 when Chidambaram was the Union finance minister. Agencies have alleged Chidambaram had granted approval to the deal beyond his capacity benefiting certain persons and received kickbacks while serving as the finance minister.(With inputs from agencies)||https://www.hindustantimes.com/india-news/chidambaram-granted-a-day-s-exemption-in-aircel-maxis-corruption-case-101640001159299.html
20-12-2021||India||Karnataka reports 5 more Omicron cases; travel history unknown||Five more cases of the Omicron variant of the coronavirus disease were reported in Karnataka on Monday, taking the total number of cases of the variant in the state to 19. The newly infected include a 54-year-old male from Dharwad, a 20-year-old female from Shivamoga, an 82-year-old male from Udupi, a 73-year-old female from Udupi and a 19-year-old female from Mangaluru (19-year-old female), according to a tweet by Karnataka health minister K Sudhakar on Monday morning. So far, cases of the new variants have been reported in Bengaluru, Belagavi, Dakshina Kannada, Dharwad, Udupi and Shivamogga districts. Many among those infected are double vaccinated with no travel history. However, all have either mild symptoms or are asymptomatic. In all five cases, authorities have not been able to identify travel or transmission history in the patients.The cases from Udupi and Mangaluru were part of the clusters which were sent for genomic sequencing, which confirmed the presence of Omicron. In the Udupi cluster, an 11 year-old-boy from the family tested positive in the last week of November following which four primary contacts were tested of whom three turned Covid positive and their samples were sent for genomic sequencing, said officials of the health department. The Dharwad woman who has been the first case of Omicron in the district tested positive for Covid-19 on December 5 and was treated in home isolation. She has been relieved from symptoms at present, as per the health department’s statement. She had four primary contacts and 133 secondary contacts who all underwent Covid testing and have tested negative. The Shivamoga patient tested positive on December 6. Total 218 contacts have undergone testing of which 26 have been found positive for Covid-19. The sequencing results of these patients are awaited.||https://www.hindustantimes.com/india-news/karnataka-reports-5-more-omicron-cases-travel-history-unknown-101640001207993.html
20-12-2021||India||Mansukh Mandaviya: 161 Omicron cases reported in India||India has reported 161 cases of new coronavirus variant Omicron, Union Health Minister Mansukh Mandaviya said on Monday."As of now, India has 161 Omicron cases...We are monitoring the situation daily with experts," the minister told Rajya Sabha while replying to a debate on the COVID-19 situation.He said the government has taken steps to deal with the situation if the virus spreads."With our experience during the first and second waves, to ensure that we don't face problems if variant spreads, we have arranged a buffer stock of important medicines."He said the states and union territories have an adequate quantity of vaccines against COVID-19 for vaccination drives, adding that the country's vaccine manufacturing capacity has also increased."Today all states and UTs have adequate quantity of vaccines, 17 crore doses available with them. Our manufacturing capacity has increased. Today India has the capacity to manufacture 31 crore doses of vaccine per month. In the next two months, it'll further rise to 45 crore doses per month," the minister said."Under PM Modi's leadership, with the efforts of our healthcare workers, 88 per cent of first doses of the COVID vaccine have been administered and 58 per cent of second doses administered so far. The majority of the population in India is vaccinated today.||https://www.hindustantimes.com/india-news/mansukh-mandaviya-161-omicron-cases-reported-in-india-101640000049251.html
20-12-2021||India||‘Arrogant king’: Navjot Singh Sidhu reacts to Punjab Lok Congress-BJP alliance||Punjab Congress chief Navjot Singh Sidhu on Monday launched a scathing attack on Punjab Lok Congress chief and former chief minister Captain Amarinder Singh days after he formed an alliance with the Bharatiya Janata Party (BJP) for next year’s assembly elections in the state.Sidhu also attacked the former senior Congress leader by labelling him as an “arrogant king”.“Captain said that doors have been closed for Sidhu, but today he is sitting at home and licking the feet of [Prime Minister Narendra] Modi,” Sidhu was quoted as saying by news agency ANI.Last Friday, Amarinder Singh announced an alliance of his Punjab Lok Congress with the BJP. The former Punjab chief minister met Union minister Gajendra Singh Shekhawat, who is also the BJP’s election-in-charge for the poll-bound state, to firm up the alliance.“We are ready and we are going to win this election. The decision on seat-sharing will be taken on a seat-to-seat basis, with winnability being the priority. We are 101% sure of winning this election,” Amarinder Singh said after the announcement of the alliance with the BJP.People familiar with the developments said the BJP is most likely to be the senior partner in the alliance. The people mentioned above also said that the Punjab Lok Congress may contest in at least 60 out of the 117 seats.Amarinder has also said both parties are in talks with Rajya Sabha member Sukhdev Singh Dhindsa’s Akali Dal (Sanyukt) and will meet soon to discuss seat sharing in the coming days.Singh played a decisive role in bringing the Congress to power in 2017 and the infighting and factionalism within the party as well as differences with Navjot Sidhu led to his exit.On November 2, Amarinder Singh quit Congress and later formed his own party.||https://www.hindustantimes.com/india-news/arrogant-king-navjot-singh-sidhu-reacts-to-punjab-lok-congress-bjp-alliance-101639999980407.html
20-12-2021||India||News updates from HT: Amid calls for resignation, MoS Teni skips event and all the latest news||Here are today’s top news, analysis and opinion. Know all about the latest news and other news updates from Hindustan Times.Ajay Mishra Teni skips event amid calls for his resignationMinister Teni was supposed to attend the SSB’s foundation day event in Delhi as a chief guest. But his ministerial colleague Nisith Pramanik instead attended the ceremony, which was closed for the media. Read more here. State govt fully alert: Nitish says Bihar ready to counter OmicronBihar chief minister Nitish Kumar said on Monday said the state’s health authorities are taking every measure to ensure cases of the Omicron variant of the coronavirus do not go undetected and efforts are being made to tackle any outbreak. Read more here. How bad is chip crisis? Well, Toyota to now halt production at five factoriesToyota expects the global shortage in semiconductor chip to persist well into 2022. Read more here. Ather Energy extends free charging at all Grids till June 30 next yearAther Energy had started the free charging facility at its EV charging network in September this year. Read more here. Pakistan legend Wasim Akram has his say on India's disappointing performance at T20 World Cup: 'They need to think back'Former Pakistan captain Wasim Akram has shared his thoughts on India's disappointing campaign at the T20 World Cup, which saw the Men in Blue fail to make it to the knockouts. Read more here. Katrina Kaif and Vicky Kaushal clasp hands as they enjoy stunning sea view from their new Juhu home. See photoKatrina Kaif took to Instagram Stories to share a picture of her and Vicky Kaushal standing on the balcony of their new home in Juhu and taking in the view. Read more here.||https://www.hindustantimes.com/india-news/news-updates-from-ht-amid-calls-for-resignation-mos-teni-skips-event-and-all-the-latest-news-101639999267476.html
20-12-2021||India||Prasar Bharati signs MoU to promote Indian culture, episodes to telecast on Doordarshan||Public broadcaster Prasar Bharati signed a memorandum of understanding on Monday with the Indian Council for Cultural Relations (ICCR) to promote Indian culture. It will be telecast on the national and international channels of Doordarshan.“The MoU aims to bring forth the best of Indian culture to the national and international audiences and provide TV and digital platforms to the performing artists. In collaboration with the ICCR, Doordarshan will produce 52 half-hour episodes, based on cultural events/concerts/performances of music/dance organized by the ICCR,” said the Ministry of Information and Broadcasting through a press release.The MoU will be in operation for the next three years from December 2021 to December 2024.The performances of eminent artists associated with the ICCR will be telecast on Doordarshan’s associated channels. “The dance and music performances will be showcased on DD National, DD India, regional channels of Doordarshan and Prasar Bharati News Services (Digital Platform of Prasar Bharati) in the form of a weekly programme,” the release further read.The memorandum was signed between Director Generals of Doordarshan and ICCR, Mayank Kumar Agrawal and Dinesh K Patnaik along with other senior members from both organizations.Previously, Prasar Bharati signed an MoU with the Ministry of Electronics and Information Technology to bring quality educational programmes to every household, including those in rural and remote areas.||https://www.hindustantimes.com/india-news/prasar-bharati-signs-mou-to-promote-indian-culture-episodes-to-telecast-on-doordarshan-101639999408694.html
20-12-2021||India||State govt fully alert: Nitish says Bihar ready to counter Omicron||Bihar chief minister Nitish Kumar said on Monday said the state’s health authorities are taking every measure to ensure cases of the Omicron variant of the coronavirus do not go undetected and efforts are being made to tackle any outbreak.Nitish Kumar also said there are no Omicron cases in the state currently and that authorities are conducting more than 5 lakh tests daily. “There is alertness in the state. We are prepared,” Kumar was quoted as saying by news agency ANI.“Arrangements have been made. Though there are no cases, you never know… Most numbers of per day tests are happening in the state, over 5 lakh tests being done (daily),” he further added.Last week, the Bihar government sent samples of travellers, who tested positive for Covid-19 after arriving in the state, for genomic sequencing. It has also ramped up contact tracing.“Whenever someone from Bihar comes back from abroad, the Centre informs us and we send health officials to do their Covid test,” Bihar health minister Mangal Pandey was quoted as saying by news agency PTI.India has so far recorded at least 170 cases of Omicron after Delhi Kerala, Karnataka and Maharashtra detected fresh cases of the variant on Monday. People infected with the variant have been detected in at least 12 states and Union territories in the country now - Maharashtra (54), Delhi (28), Rajasthan (17) and Karnataka (19), Telangana (20), Gujarat (11), Kerala (15), Uttar Pradesh (2), Andhra Pradesh (1), Chandigarh (1), Tamil Nadu (1) and West Bengal (1).Health experts have warned the highly transmissible Omicron could lead to a surge of infections amid fears that the variant may evade the effects of the vaccines, prompting governments worldwide to push for a booster dose.||https://www.hindustantimes.com/india-news/state-govt-fully-alert-nitish-says-bihar-ready-to-counter-omicron-101639998723872.html
20-12-2021||India||Diplomat Pradeep Rawat made next envoy to China: MEA||The Ministry of External Affairs (MEA) said on Monday diplomat Pradeep Kumar Rawat will be India's next Ambassador to China. Rawat, who will succeed Vikram Misri, had earlier served in Hong Kong and Beijing.At present, Rawat, an Indian Foreign Service (IFS) officer of 1990 batch, is serving as the Indian ambassador to the Netherlands.In a statement, the MEA said Rawat is expected to take up the new assignment shortly.Pradeep Kumar Rawat, presently Ambassador of India to Netherlands has been appointed as the next Ambassador of India to China. He is expected to take up the assignment shortly: Ministry of External AffairsRawat's appointment comes in the midst of a lingering dispute with China along the border in eastern Ladakh.Rawat had served as ambassador of India to Indonesia and Timor-Leste from September 2017 to December 2020. A PTI report said he is fluent in Mandarin.(With inputs from agencies)||https://www.hindustantimes.com/india-news/diplomat-pradeep-rawat-made-next-envoy-to-china-mea-101639998425680.html
20-12-2021||India||CM Patnaik inaugurates Odisha's longest bridge over Mahanadi||Odisha Chief Minister Naveen Patnaik on Monday inaugurated the state's longest bridge over Mahanadi river at Gopinathpur in Cuttack district.The 3.4-km-long bridge, connecting Singhanath Pitha and Baideswar in Cuttack district, will reduce the distance by 45 km, benefitting around five lakh people, officials said.The bridge, constructed in T-shape, is built at a cost of ₹111 crore, they said.Patnaik had laid the foundation stone of the bridge on February 28, 2014.Ahead of Patnaik's visit, the police detained hundreds of Congress and BJP workers, including former MLA Debasis Patnaik, as they were protesting with black flags at Banki.The opposition activists were demanding the dismissal of Minister of State for Home DS Mishra for his alleged link with the prime accused in the Kalahandi woman teacher's kidnap and murder case.Patnaik had in July 2017 inaugurated the 2.88-km-long Netaji Subash Chandra Bose Setu over Kathajodi river at Trisulia, which till now held the title of the state's longest bridge. The bridge connects Bhubaneswar and Cuttack via Barang.||https://www.hindustantimes.com/india-news/cm-patnaik-inaugurates-odisha-s-longest-bridge-over-mahanadi-101639992355543.html
