November 6, 2020||Bengaluru||Church Street gets final touches ahead of no-vehicle weekends||It’s a makeover that took over two years, at the end of which the 750-metre stretch of Church Street was a hand-laid granite cobblestone beauty. The new look, of course, made it a hot spot for photo shoots and live musical activity and now, much to the delight of pedestriants, the stretch will be vehicle-free on weekends. Starting November 7, there will be no vehicular movement along Church Street during weekends as part of a five-month Clean Air Street initiative by Directorate of Urban Land Transport (DULT). The decision to make the stretch look and feel like a Parisian street with cafes and restaurants that have tables on the pavements has raised excitement levels among visitors to that side of town. Irfan Noor, secretary, Church Street Occupants Association, says, "This is a good move. We will have to wait for the inauguration and the feedback from the people to see how we can function. This is a good move that should help businesses along the strength, all of which have been through a prolonged dull phase owing to the pandemic. This move might just help revive that and bring people to the street." In the run-up to the initiative, the BT lens spotted workers hurriedly conducting repair works along the entire stretch to ensure everything is right before the street is thrown open to pedestrians.||http://timesofindia.indiatimes.com//city/bengaluru/church-street-gets-final-touches-ahead-of-no-vehicle-weekends/articleshow/79064298.cms||Sunayana Suresh
November 6, 2020||Thiruvananthapuram||T'puram to get four more e-vehicle charging stations||THIRUVANANTHAPURAM: Giving more confidence to electric vehicle owners and those mulling over shifting to electric vehicles, the city will be getting four more e-vehicle charging stations. The new charging stations will be inaugurated by chief minister Pinarayi Vijayan on Saturday. Out of the four e-vehicle charging stations, three are being set up by Agency for Non-conventional Energy and Rural Technology (ANERT) and one by Kerala state electricity board (KSEB). The works in this regard are being carried out in association with Energy Efficiency Services Ltd under the Union government. The charging stations by ANERT are coming up outside ANERT headquarters at PMG here, Thycaud Government Guest House and Shangumugham Beach Road. The charging station by KSEB is coming up at Nemom. ANERT officials said that out of the three charging stations they are setting up, the one outside ANERT headquarters is a solar-powered one. They have plans to convert the stations at Shangumugham and Thycaud too into solar-powered stations in the future. ANERT stations have two types of charging units, a 15KW charging point and a combo charging point with two 60KW charging points and a 22 KW charging point. “Electric cars that are currently available in the market can be charged from these charging points. Cars such as Tata Tigor and Mahindra E Verito can be charged from the 15KW charging point and bigger cars like Hyundai Kona, Tata Nexon and MG ZS can be charged from the combo charging point,” said an official of ANERT. The charging stations have the power to charge the batteries of vehicles up to 80% within 20 minutes. The official also said that the charging station outside ANERT headquarters can also be used to charge e-rickshaws. None of the charging stations have the option to charge electric two-wheelers.  The government has already announced that the service of these EV charging stations will be free for the first three months. CM Pinarayi Vijayan will be inaugurating the EV charging stations on Saturday at 3pm. Besides the EV charging stations in the capital city, similar stations at Kochi Marine Drive, Olayil, Palarivattom, Viyyur, Nallalam and Chovvawilla will also be inaugurated on Saturday. While the EV charging station at Kochi Marine Drive is also being set up by ANERT, the others are installed by KSEB. A fleet of 50 new EVs for government will also be flagged off during the occasion. Finance minister Thomas Issac will inaugurate the distribution of LED bulbs under ‘Filament-Free Kerala’ initiative. Ports minister Kadannappally Ramachandran will launch the solar subsidy scheme.||http://timesofindia.indiatimes.com//city/thiruvananthapuram/capital-to-get-four-more-e-vehicle-charging-stations/articleshow/79072233.cms||Rejith Balakrishnan
November 6, 2020||Hyderabad||Lovers commit suicide in Vikarabad||Hyderabad: Upset after their parents refused to get them married, a man and his minor girlfriend committed suicide by consuming poison in Thandur, Vikarabad district, on Wednesday. Balraj, a school dropout, was in love with the minor girl, who recently cleared 10th grade. The couple was found dead in the agriculture field belonging to Balraj’s family. Police suspect that couple might have resorted to extreme step as their parents were against their proposal to get married. Police registered a case under section 174 (suspicious death) of CrPc. TNN||http://timesofindia.indiatimes.com//city/hyderabad/lovers-commit-suicide-in-vikarabad/articleshow/79069396.cms||---
November 6, 2020||Aurangabad||Survey finds 3,453 ILI & SARI patients in Aurangabad district||AURANGABAD: The ongoing health survey in Aurangabad district as part of ‘My Family My Responsibility’ campaign of the state government has identified as many as 3,453 cases of influenza-like illness (ILI) and severe acute respiratory infection (SARI) among surveyed citizens. Besides, the survey, which is being conducted in the city limits and rural areas, has also come across 46,687 citizens having comorbidities such as diabetes, hypertension and lung ailments among other diseases. Aurangabad district health officer Sudhakar Shelke said that the identified citizens are vulnerable to get infected with Covid-19 and would be monitored continuously. “We have been reaching out to each and every family under ‘My Family My Responsibility’ campaign in order to minimize the risk of Covid-19 infection. Our health teams would be in constant touch with the citizens having ILI and SARI along with the listed comorbidities in order to protect them for the menace of Covid-19,” he said. While the citizens with Covid-like symptoms have been referred to health facilities for necessary testing, health authorities have appealed to the citizens to co-operate with the teams arriving at their doorstep for health check up as a part of My Family My Responsibility’ campaign. “We have come across some pockets, including those from minority areas, where citizens choose not to co-operate with ground-level health staffers. Either they did not allow our teams to enter their localities or refused to share any details about health of family members. Such non-cooperation increases the risk of Covid spread,” Shelke said. As per official data, over 1.23 lakh families from the municipal limits and over 5.3 lakh from rural areas have been covered under ‘My Family My Responsibility’ campaign in Aurangabad district. At the state level, over 2.41 crore families have been covered under the campaign, helping the health authorities to identify over 1.62 lakh patients of ILI and SARI and another 19.74 lakh with co-morbidities.||http://timesofindia.indiatimes.com//city/aurangabad/over-3-4k-ili-sari-patients-in-aurangabad-survey/articleshow/79071013.cms||---
November 6, 2020||Ahmedabad||Ahmedabad: All schools have NOCs says AMC, board says 44%||AHMEDABAD: City schools are very safe so far as fires are concerned, if the civic body is to be believed. However, the education department has a contrasting picture. While the AMC claimed that only 4-5 schools and colleges in the city do not have valid fire department no-objection certificates (NOCs), data from the Gujarat Secondary and Higher Secondary Education Board reveals that 54% of city schools lack these NOCs. The board’s recent communiqué to education officials raised a question about the authenticity of Ahmedabad chief fire officer M F Dastoor’s statement before the Gujarat high court in September with regard to educational institutions having valid fire NOCs. Dastoor had to file an affidavit in response to a PIL seeking action in the Shrey Hospital fire case and demanding proper implementation of fire safety laws. On September 28, Dastoor swore the affidavit in which he stated, “It is submitted that there are about 1,200 government and private schools and colleges within the city limits of Ahmedabad and barring 4 to 5, all schools and colleges have fire NOCs issued by the Fire Department of Ahmedabad Municipal Corporation.” This statement was made twice on the affidavit filed in the high court by Dastoor as a representative of the Ahmedabad Municipal Corporation (AMC). During proceedings on this PIL, the high court sought details about fire NOCs across the state to map how many buildings have adequate fire safety equipment.  The education department gathered details too. The board’s secretary on Wednesday shared details of schools which still do not have fire NOCs and instructed district education officers to help such schools get fire NOCs from the fire department concerned. Data furnished by the board shows that as many as 542 of the 1,003 schools in the city of Ahmedabad do not have valid fire NOCs. It reveals that only 461 schools in Ahmedabad have fire NOCs and there is not a single school which has initiated the process to either get an NOC or to get it renewed. In his September 28 affidavit, Dastoor claimed that all 60 multiplexes, all 300 firecracker shops, all 80 petrol pumps and all 50 temporary structures in the city had valid fire NOCs. He also claimed that nearly 2,200 of the 2,385 tuition classes in the city have valid fire NOCs.||http://timesofindia.indiatimes.com//city/ahmedabad/all-schools-have-nocs-says-amc-board-says-44/articleshow/79069407.cms||---
November 6, 2020||Aurangabad||2,248 undergo Covid testing||Aurangabad: A total of 2,248 citizens from rural areas of Aurangabad district have undergone testing for Covid-19 as a part of My Family, My Responsibility campaign. It includes 1,679 rapid antigen tests and remaining 579 RT-PCR tests, official data shows. Also, a total of 177 citizens from Aurangabad district have been re-tested using the RT-PCR test even after their rapid antigen tests came out negative. The related data for the municipal limits has not been made available yet. A senior health official said all symptomatic negative cases of rapid antigen tests are strictly asked to get an RT-PCR test as per official protocol. “The rapid antigen tests are known for having considerable degree of false negative and the Centre has laid down a protocol to deal with it. Accordingly, two specific categories of cases must undergo a retest through RT-PCR. It includes all symptomatic negative cases of rapid antigen test and asymptomatic negative cases the rapid antigen test that develop symptoms within two to three days days of being tested negative,” he said.||http://timesofindia.indiatimes.com//city/aurangabad/2248-undergo-covid-testing/articleshow/79071015.cms||---
November 6, 2020||Agra||Two ex-students of AMU among 27 ‘externed’ from Aligarh for 6 months||Agra: Aligarh district administration has identified 27 individuals, including two former Aligarh Muslim University (AMU) students, as “goondas” or criminals and "externed" them from the district for six months for their alleged involvement in crimes in the area.The two ex-students of AMU were identified as Zaid Shervani and Sarjeel Usmani. Usmani was lodged in Aligarh district prison in July in connection with anti-CAA protests in the university and was released after a district court granted him bail two months ago. Usmani is the son of a senior faculty member of the varsity.The order read, “Usmani is dangerous for society. People are living in fear due to his criminal activities. People don’t provide evidence against him due to his terror. He is a dangerous 'goonda'. Peoples' lives are at risk due to his acts.” Usmani said that the Goonda Act was usually slapped on repeat offenders involved in criminal activities. “Four cases were registered against me in a short span from December 6 to 15, 2019. And I have been declared a 'goonda' by district authorities,” he said, adding that he belongs to a reputed family and had never threatened anyone.“No disciplinary action was ever taken against me by the AMU,” he claimed.||http://timesofindia.indiatimes.com//city/agra/two-ex-students-of-amu-among-27-externed-from-aligarh-for-6-months/articleshow/79066970.cms||---
November 6, 2020||Delhi||Covid plus winter: 250 extra shelters to be set up in Delhi||NEW DELHI: Winter has started setting in and, this year, Delhi’s homeless people will not only have to battle the biting cold but also the spectre of Covid-19 along with deteriorating air quality, which is likely to complicate health issues more. Keeping these challenges in mind, Delhi government is going to set up 250 additional temporary shelters in the next fortnight, a nearly four-fold increase as against previous years. This has been necessitated by the need to ensure social distancing inside these shelters, said an official. Urban development minister Satyendar Jain on Thursday convened a coordination meeting at the secretariat with various departments and authorities, including Delhi Urban Shelter Improvement Board (DUSIB) that manages these facilities, Delhi Jal Board, health, revenue, public works department, power, social welfare, women and child development, Delhi Police, Delhi Development Authority, municipal corporations and New Delhi Municipal Council, Delhi Metro and Delhi Fire Services, to review the steps to be taken to provide proper facilities, DUSIB stated. All officials were sensitised for extending full cooperation, keeping in mind that the Covid-19 guidelines are also to be followed, the statement added. The revenue department has been asked to instruct the district magistrates to take all precautionary steps. The health department will carry out regular inspections of these shelters and extend health facilities to the homeless inmates. DUSIB will start Winter Action Plan 2020-21 for the homeless people from November 20 and it will continue till March 15, 2021. In comparison to 60-70 pagoda tents being set up following regular practices, about 250 fire retardant and waterproof pagoda tents will also be installed as temporary winter shelters to ensure social distancing. The tents will have beds and mattresses and will be set up at locations of homeless concentration. Even before the action plan is launched, DUSIB will start providing three meals, including breakfast, daily at all shelters in place of usual two meals, the board stated. DUSIB board member Bipin Rai said that this year it would have to ensure that a six-foot distance was maintained between every two individuals to avoid the spread of Covid-19, Rai added. He also urged people “to download DUSIB’s ‘Rain Basera’ mobile application, on which they can upload photos of any area with homeless people”. DUSIB’s 16 rescue teams will bring homeless people to the shelters, Rai said, adding that a helpline number will also remain operational 24x7 in the winter.||http://timesofindia.indiatimes.com//city/delhi/covid-plus-winter-250-extra-shelters-to-be-set-up/articleshow/79069453.cms||Sidharatha Roy
November 6, 2020||Aurangabad||Man booked for selling onion seeds||AURANGABAD: CIDCO police have registered an offence of alleged illegal sale of onion seeds at Aurangabad city’s local market and have booked Kaleem Salim Patel (45) in connection with the incident. Patel is a resident of Deolai area, said police, adding that the suspect did not have any valid license for selling onion seeds. “As per law, no person can carry out the business of selling, exporting or importing seeds at any place except under and in accordance with the terms and conditions of licence granted to him. Such sale of seeds without any license is detrimental to the interest of farmers,” police said.||http://timesofindia.indiatimes.com//city/aurangabad/man-booked-for-selling-onion-seeds/articleshow/79071017.cms||टाइम्स न्यूज़ नेटवर्क
November 6, 2020||Ahmedabad||Ahmedabad: NGT issues notices suo motu to authorities, chemical unit||AHMEDABAD: The National Green Tribunal (NGT) on Thursday issued notice to concerned authorities and the owner of the chemical processing unit after 12 persons lost their lives and nine others sustained injuries in multiple explosions that took place on Wednesday in the unit in Ganeshnagar on the Piplaj-Pirana Road. The tribunal has taken suo motu cognizance of the accident on basis of newspaper report and issued notices to the Gujarat Pollution Control Board (GPCB), the Central Pollution Control Board (CPCB), Ahmedabad collector, director of industrial safety and Shahil Enterprises Chemical Boiler Factory. All of them have been asked to remain present before the tribunal on November 11 through video conferencing for the hearing with regard to the casualties that took place in blasts on Wednesday. All who were killed due to the blasts were working at a neighbouring garments packaging unit, which shares a common wall with Shahil Enterprises. Locals said that they heard six blasts from the chemical unit. The fire brigade officials who had rushed to the spot were clueless about the composition of the chemical that caused the explosions. Later in the day of explosion, the state government announced ex-gratia of Rs 4 lakh for the victims’ kin and it instituted a committee to probe the incident.||http://timesofindia.indiatimes.com//city/ahmedabad/ngt-issues-notices-suo-motu-to-authorities-chemical-unit/articleshow/79069468.cms||---
November 6, 2020||Lucknow||Blanket of smog shrouds capital||LUCKNOW: The city witnessed the highest air pollution levels post-monsoon this year on Thursday due to a thick dense smog — a mix of mist/fog and pollutants — that enveloped the city since morning. As per the data released by the Central Pollution Control Board (CPCB), Lucknow’s Air Quality Index (AQI) was 349. This means the air quality of Lucknow was in the ‘very poor’ category which is harmful to lungs. The city skyline remained wrapped in a thick haze since morning, giving the appearance of an overcast sky and leading to drop in the visibility below 500 metres. TimesViewThe high air pollution levels can also cause severe breathing issues and ailments, hence, wearing a mask now has double benefit. It will act as a barrier for both the novel coronavirus and polluted air. Besides, authorities must step up the campaign to check activities that cause air pollution. People can also contribute to it by not burning garbage in the open and stopping others from doing so. Further, venture out of home only when necessary. This will reduce vehicular load on roads and also prevent you from getting exposed to the virus.According to weather experts, the smog created by clubbing of mist and pollutants remained suspended in the air for a longer period because wind velocity was also low. The drop in night temperatures by 3-4 degrees in the past few days condensed moisture in the air, leading to formation of the mist. On the other hand, the concentration of ultrafine pollutants (PM 10 and PM 2.5) spiked because of the rise in fuel emissions due to increase in vehicular load on roads owing to festival rush. The stubble burning in many parts of the state also made a significant contribution in the increase of PM 10 and 2.5 levels in the atmosphere. Adding to it was the pollution caused by the bursting of firecrackers on Karva Chauth on Wednesday. Environmentalist Prof Venkatesh Dutta warned that the pollution levels will increase further in coming days. “As winters are approaching, decline in temperatures will continue and there will be more vehicles on the road due to festivals,” he added. He also said that since weather conditions cannot be changed, the effort should be to reduce emission of pollutants by strictly enforcing a ban on stubble burning, putting checks on construction activities as per guidelines.||http://timesofindia.indiatimes.com//city/lucknow/blanket-of-smog-shrouds-capital/articleshow/79071031.cms||Mohita Tewari
November 6, 2020||Agra||Members of saffron outfit enter another Mathura mosque, chant Hanuman Chalisa, booked||Agra: Police in Mathura on Thursday booked three members of a saffron outfit after they allegedly barged into a mosque and read out Hanuman Chalisa in the district's Taroli village. A video clip of the event was also shared on social media platforms, prompting police to arrest the three men. Bharat Sisodiya, president of Rashtriya Maharana Pratap Yuva Sena and two others, Ashok Singh and Sonu Raghav, were booked under section 151 (arrest to prevent the commission of cognizable offences) of CrPC, said SP (rural) Shireesh Chandra. He added that police are keeping a close eye on such people. “Strict action will be taken against those trying to disrupt communal harmony,” said SSP Guarav Grover. He added that directions have been issued to all police stations in the district in this regard. This was the second such incident in the last 48-hour. On November 2, a group of four youths had recited Hanuman Chalisa in Govardhan’s Eidgah. They were also booked under the same section.||http://timesofindia.indiatimes.com//city/agra/members-of-saffron-outfit-enter-another-mathura-mosque-chant-hanuman-chalisa-booked/articleshow/79066999.cms||---
November 6, 2020||Nagpur||19 candidates already for Amravati’s Teachers’ constituency||Amravati: 19 candidates took nomination forms on day one for election to one seat to Maharashtra Legislative Council from Amravati division’s Teacher’s constituency. The candidates included Anil Madhukar Kale, Pravin alias Pandurang Nanaji Vidhale, Sangita Sachindra Shinde (Bonde), Rajkumar Shriram Bonkile, Rajendra Tulsiram Gujre, Ramesh Dattuji Chandekar, Narendra Kaur, Shekhar alias Chandrashekhar Manohar Bhoyar, Sanjay Wasudeorao Asole, Sunil Narayanrao Jaisinghpure, Dilip Anandrao Nimbhorkar, Abhijit Murlidhar Deshmukh, Ganesh K Sanap, Sharadchandra Krushnarav Hinge, Vikas Bhaskarrao Sawarkar, Adv. Ram Burange, Dr Sanjay Delivery, Dr Nilesh Deshmukh and Ravindra Lakhode.||http://timesofindia.indiatimes.com//city/nagpur/19-candidates-already-for-amravatis-teachers-constituency/articleshow/79069456.cms||---
November 6, 2020||Hyderabad||Hyderabad: Criminal cases against owners for pilfering water||HYDERABAD: The Hyderabad Metropolitan Water Supply and Sewerage Board has decided to register criminal cases and impose penalties against property owners who are using illegal electric motors to draw water from main pipeline.  HMWS&SB managing director, M Dana Kishore instructed the vigilance wing to implement orders regarding penalties and registration of criminal cases. “A penalty of Rs 5,000 will be imposed for a first-time offence. Subsequently, if the offence is committed again, Rs 10,000 fine will be imposed and if the offence is repeated for the third time, water connection will be disconnected and a criminal case will be booked,” said a vigilance official from HMWS&SB. The water board has already registered FIRs against erring property owners. “Recently in Allwyn Colony and KPHB areas, the wing seized 13 illegal electrical motors which were used to suck water directly from water board’s main pipeline,” says a release issued by HMWS&SB on Thursday. A penalty of Rs 5,000 will be imposed for a first-time offence. If the offence is committed again, Rs 10,000 fine will be imposed and if the offence is repeated, water connection will be disconnected.||http://timesofindia.indiatimes.com//city/hyderabad/criminal-cases-against-owners-for-pilfering-water/articleshow/79069442.cms||---
November 6, 2020||Hyderabad||Hyderabad: Even concrete barricades could not stop flooding||HYDERABAD: A repeat victim of heavy monsoon showers, residents of Kodandaram Nagar – not too far away from the Saroornagar Lake – had erected concrete barricades at the entrance of their homes, to stop the water from flooding their properties. But in the recent October rains, even these got washed away. “Many people in our locality raised these one-foot-tall walls with cement to save our lives and properties. But they couldn’t protect us this time,” said T Pranay, a resident of the area. Around 6,000 houses around the Saroornagar Lake were left adversely impacted in the October showers as water gushed into their homes, damaging their valuables – electronics, furniture and even vehicles. Overnight, people had to abandon their houses and move to temporary shelters. A ground report, weeks later, revealed that aging pipelines were at the root of this crisis. As per the original design, water from Saroornagar Lake was supposed to flow in to Musi through natural water channels that are around 40 feet wide. These natural water channels run through Kodandaram Nagar, Kamala Nagar, P&T Colony, Netaji Nagar and New Gaddiannaram. Over a period of time though, these channels were converted into artificial drains by constructing pipelines. Right now, water is discharged into Musi through these pipelines. The concern: width of these pipelines, which is hardly 10 feet and not capable of bearing excess load. As a result, the rain water is now flowing out of manholes located in residential localities. To add to that, locals say the pipelines have not been cleaned for years. Worse, even the 40-feet channels have been encroached upon after pipe lines were laid, allowing commercial establishments, apartments to come up on nalas. Result: local flooding Residents said they were able to overcome the recent disaster only due to humanity and relief camps. “People supplied food and water to the ones whose houses were inundated, while some of them provided accommodation to people. Relief camps by the government were also helpful,” said Kandikanti Premnath Goud, resident of Kondandaram Nagar. GHMC corporator from Gaddiannaram, Bhavani Praveen Kumar said that a request to divert the upstream water has already been placed. “We have requested the government to divert the upstream water flowing into Saroornagar Lake to Musi and reduce the load on Saroornagar Lake. Plans are underway to execute the project,” said the TRS leader.||http://timesofindia.indiatimes.com//city/hyderabad/even-concrete-barricades-could-not-stop-flooding/articleshow/79069443.cms||Nabinder Bommala
November 6, 2020||Thiruvananthapuram||Questions remain over Kerala govt’s new system for organ donation||THIRUVANANTHAPURAM: The health department’s decision to bring all organ donations under state control has come out of the long-pending demand to root out illegal trade but there are apprehensions on how the new system will work in the case of live organ donations. Ever since the government launched a system for cadaver transplantation, demand has picked up from various quarters to bring live organ donations too under it. “This has also been a long-standing demand. Our aim is to make live organ donations too hassle-free like cadaver transplantation, for which a system will be evolved. Plans are afoot to develop a software so that donors and recipients can be registered, thereby preventing illegal trade. Our goal is to avoid procedural delays for live organ donations through such a system. We can find out matching donors since there will be a registry,” said Dr Noble Gracious, nodal officer of Kerala Network of Organ Sharing (KNOS) under which the Mrithasanjeevani is functioning. However, several concerns have been raised over such a system. There are apprehensions that it would be easy to influence people overseeing the system for live organ donations. Hence, there is a view that live organ donations should be restricted while cadaver transplantation should be promoted. The move to bring all organ donations under the state control is a welcome decision, said Dr N Sulphi, vice-president of Indian Medical Association. But he added that it could be seen as only a temporary mechanism. It will be easy to influence the people who control the mechanism. Hence, the focus should be on restricting live organ donation only among relatives or close friends. We should promote cadaver transplantation more and bring down live organ donations, he added. “The willingness for live organ donation should come out of humanitarian concerns. But if you are trying to create a registry then the people who are willing to get registered will be those who are in need of money. The consent of the family is also essential if an individual is willing to become a donor. How are you going to ensure this if you are creating a registry,” asked Fr Davis Chiramel, founder of Kidney Federation of India. He too agreed with the view that the government should promote cadaver transplant more and limit live organ donations within the family. If anyone is in need of a kidney then family members should be first approached. We should create such a kind of awareness, said Fr Chiramel.||http://timesofindia.indiatimes.com//city/thiruvananthapuram/questions-remain-over-govts-new-system-for-organ-donation/articleshow/79068216.cms||---
November 6, 2020||Thiruvananthapuram||Shangumugham beach closed again due to adverse weather||THIRUVANANTHAPURAM: District administration, on Thursday, imposed restrictions on public from entering Shangumugham beach owing to adverse weather conditions. Collector Navjot Khosa issued an order in this regard stating restrictions will be in effect up to 100m from the shoreline owing to high tides. The conditions at the beach has become very dangerous once again owing to rough sea. Police have been directed to install barricades along the beach to ensure that people do not venture into the danger zone. There are restrictions for commercial establishments, including food court and shops located near the danger zone from functioning until further notice. Sale of fish on the beach is also restricted. Shangumugham beach, the favourite hangout place of majority of city residents, have been lying closed ever since the lockdown induced by Covid-19 pandemic came in force. Despite the commencement of unlock phase, the beach area remained closed as it suffered severe infrastructure damages in the heavy rain during monsoon. After a long wait, district administration, on November 1, issued an order allowing visitors to Shangumugham beach as well as other beach spots in the city. Ever since, the Shangumugham has been witnessing high turn-out of visitors. Following the latest development, vendors in beach area, who were hoping to return to normal life are again pushed into uncertainty.||http://timesofindia.indiatimes.com//city/thiruvananthapuram/beach-closed-again-due-to-adverse-weather/articleshow/79072241.cms||---
November 6, 2020||Ahmedabad||Ahmedabad: Three persons held for explosions that killed 12 in Ganeshnagar||AHMEDABAD: One day after 12 persons including five women lost their lives in a high-intensity blast followed by a fire at an industrial unit in the Ganeshnagar locality in Narol, city police on Thursday held three men under charges of culpable homicide and other sections of the Indian Penal Code after an FIR was lodged against them. The complaint was filed by Ashish Christian, the son of one of the deceased, Ragini Christian, a resident of Narol, against three person including Nanu Bharwad, the owner of Nanu Kaka industrial shed and a resident of Vasna, Pradeep alias Boota Bharwad, the owner of Boota Bhai estate, and Hetal Sutaria, the owner of Sahil Enterprises. On Wednesday morning, chemical reaction took place in Sahil enterprises in Boota Bhai estate during which 12 labourers working in garment packaging unit in Nanu Kaka estate lost their lives. Ashish stated in the FIR that his mother had been working at the garment packaging unit for 10 years and had gone to her workplace on Wednesday morning. At around 11am, his sister got a call and was informed that their mother was trapped under debris after a blast took place at the packaging unit. He said that when he reached there, he saw fire personnel and cops working at the damaged industrial units where concrete pillars, slabs and human organs were strewn around. After a while, his mother was found and was rushed to LG Hospital where she was declared brought dead by doctors at 1pm on Wednesday. Ashish said negligence and mischievous acts by Sutaria, Nanu and Pradeep had caused the fatal blast . Narol police booked the three under IPC Sections 304 (culpable homicide not amounting to murder), 308 (attempt to commit culpable homicide), 284 (negligent conduct with respect to poisonous substance), 285 (negligent or rash act with respect to fire or any combustible matter which may endanger human life) and 286 (negligent act with respect to explosive substance which may endanger human life).||http://timesofindia.indiatimes.com//city/ahmedabad/three-persons-held-for-explosions-that-killed-12-in-ganeshnagar/articleshow/79069467.cms||---
November 6, 2020||Coimbatore||NDC: Badagas not immigrants from K’taka, rectify error||Udhagamandalam: The Nilgiri Documentation Centre (NDC), which has been researching the history of the hill retreat for nearly four decades, has requested chief minister Edappadi K Palaniswami to rectify a 200-year-old British colonial blunder of labelling the Badaga community as immigrants from Karnataka. Dharmalingam Venugopal, director, NDC, said the modern research had established that the colonial view of the Badagas was unfounded, biased and questionable. He said there was no archaeological or historical records to suggest Badagas were immigrants. “Badagas have been misrepresented in the literature with a migrant identity. Grammatical homogeneity of Badagu and the language of Kotas, Kurumbas and Todas might indicate they have always resided in the Nilgiri hills. Also, genetic studies show Badagas share similarities with other indigenous people of Nilgiris. In summary, separation of Badagas from other people based on history and migration seems unfounded,” they said quoting the book ‘Quality of Life and Well-Being in an Indian Ethnic Community: The Case of Badagas’ by Prof Gareth Davey. “Thus, there is no strong evidence for a migration, and also too much reliance on folklore and the rough observations of British colonial officials, even though it has been taken for granted by previous writers,” the letter further quoted the author. tnn||http://timesofindia.indiatimes.com//city/coimbatore/ndc-badagas-not-immigrants-from-ktaka-rectify-error/articleshow/79069466.cms||टाइम्स न्यूज़ नेटवर्क
November 6, 2020||Hyderabad||ASI prez bags Sri Lankan surgeons fellowship||Hyderabad: President of the Association of Surgeons of India (ASI) and director, KIMS-Ushalakshmi Centre for Breast Diseases, Dr P Raghu Ram was conferred with the honorary fellowship from College of Surgeons of Sri Lanka during a virtual inaugural ceremony of the 49th Annual Sri Lanka Surgical Congress on Thursday.  Dr Raghu Ram delivered a keynote address on ‘The art andscience of oncoplastic breast conserving surgery’. The honorary fellowship conferred is the highest recognition bestowed by Sri Lankan Surgical College to a select few surgeons. TNN||http://timesofindia.indiatimes.com//city/hyderabad/asi-prez-bags-sri-lankan-surgeons-fellowship/articleshow/79069445.cms||---
November 6, 2020||Ahmedabad||Ahmedabad: Blasts may have been due to H2O2, MEK||AHMEDABAD: A team of experts from the state Forensic Sciences Laboratory (FSL) visited the spot of the blast in Ganeshnagar on Thursday. Senior city police officials associated with the investigation said that the FSL experts have pointed at possible presence of hydrogen peroxide and methyl ethyl ketone (MEK) along with other chemicals. “The unit, where the blast took place, was making intermediary chemicals for various nearby industries on demand. The owner used to get chemicals in bulk and get it mixed by his chemist at the site. The unit was functional at this site for past three years and had a turnover of about Rs 7-10 lakh monthly,” said an investigator. “FSL officials have pointed at the possibility of three blasts as result of a chemical chain reaction in various storage canisters.” The unit was primarily supplying chemicals to plastic manufacturing units, added officials. FSL officials carried out impact analysis at the site and also got the main electric supply box to ascertain what triggered the blast. Meanwhile, industrial safety experts have raised issues of primary safety. “Did the unit have required licences for the chemicals? How many times was it inspected? Was the road approachable for fire brigade? Will the local trade organizations take cognizance of the fact that such unorganized units can create a major hazard? Such questions must be addressed during the investigation,” said a city-based expert.||http://timesofindia.indiatimes.com//city/ahmedabad/blasts-may-have-been-due-to-h2o2-mek/articleshow/79069465.cms||---
November 6, 2020||Lucknow||6 UP cities most polluted in country||Lucknow: Six UP cities were the most polluted cities in the country on Thursday. Worse, the the pollution level or the Air Quality Index (AQI) crossed the ‘hazardous’ 450-mark in these cities. Moradabad was the most polluted city on the day with AQI 489, as per the Central Pollution Control Board. Moradabad was followed by cities adjacent to Delhi — Bulandshahr AQI 469, Baghpat and Ghaziabad AQI 464, Greater Noida AQI 457 and Meerut AQI 453. This was the highest pollution level in UP in this post-monsoon season. Weather experts attributed the severe pollution levels to drop in temperatures, increase in traffic due to the festive season and stubble burning. Bahadurgarh in Haryana with AQI 452 was the seventh most polluted followed by Noida and Delhi AQI 450. “Drop in temperatures has further made conditions favourable for the rise in air pollution as low temperatures and wind speed do not allow pollutants to disperse in the atmosphere,” said environmentalist Venkatesh Dutta.||http://timesofindia.indiatimes.com//city/lucknow/6-up-cities-most-polluted-in-country/articleshow/79071035.cms||---
November 6, 2020||Hyderabad||South Central Railway launches ‘Operation Meri Saheli’ for women’s safety||HYDERABAD: In a bid to provide better security to women passengers, South Central Railway on Thursday launched “Operation Meri Saheli” for a focused action to ensure safety to women, especially those travelling alone. SCR identified eight important trains plying over the jurisdiction and organised this campaign to increase safety awareness amongst women passengers. “Security of the women passengers shall be given utmost priority. The strategy of this operation is to interact with lady passengers by a team of women Railway Protection Force (RPF), sub-inspectors/staff at the originating station. During the specially organised campaigns, the women passengers will be briefed about all precautions to be taken during the journey and are advised to dial 182 in case of any emergency,” said SCR general manager Gajanan Mallya. As part of the campaign, the RPF team will collect the seat numbers of the women passengers and inform them about the stoppages en-route. The platform duty RPF personnel at the stopping stations en-route will keep unobtrusive watch over the concerned coaches and berths and if the need arises, the officials will interact with the passengers. Onboard RPF/RPSF escort will also cover all the coaches/identified berths during their duty period.||http://timesofindia.indiatimes.com//city/hyderabad/scr-launches-operation-meri-saheli-for-womens-safety/articleshow/79069464.cms||---
