date,title,newspaper
2020-09-18,Congress seeks special session of Haryana Assembly to discuss farm Bills,deccanherald
2020-09-18,Ludhiana: Traders body gives 15-day ultimatum to govt for lifting Sunday lockdown,hindustantimes
2020-09-18,Farm bills dominate Day 1 of PAU’s first virtual Kisan Mela,hindustantimes
2020-09-18,Harsimrat Kaur quits Cabinet in protest against two agri Bills,hindu
2020-09-18,Harsimrat Kaur quits in protest against agri Bills,hindu
2020-09-18,Farmers threaten protest against delay in release of crop loss compensation,hindu
2020-09-18,Centenarian wins battle against COVID,hindu
2020-09-18,Low cost of Nafed onions worries traders at APMC,hindu
2020-09-18,"HP death toll nears 100, tally now 11,190",timesofindia
2020-09-18,Coconut auctions in Madurai fetch better returns for farmers,timesofindia
2020-09-18,Karnataka onion growers staring at huge losses as Centre bans exports,timesofindia
2020-09-18,Jind: Farmers bang drums for 12 minutes in protest against agriculture ordinances,timesofindia
2020-09-18,"‘Cong MPs don’t need whip, know party stand on farm Bills’",timesofindia
2020-09-18,Congress MPs protest outside Parliament by burning copies of Farm Bills,timesofindia
2020-09-18,JJP apologies to farmers for Pipli lathicharge,timesofindia
2020-09-18,Eight greenfield dairies to be set up in Uttar Pradesh,timesofindia
2020-09-18,"Why UP is invoking NSA in murder cases? Public order, threat of communal tension & ‘panic’, say cops",timesofindia
2020-09-18,AAP’s fresh attack on BJP over farm Bills,timesofindia
2020-09-18,Grievance meet to go online in Thanjavur,timesofindia
2020-09-18,Farmers’ interests will be protected: PM hails agri bills,timesofindia
2020-09-18,Harsimrat Kaur kept SAD’s glorious legacy alive: Party leaders,hindustantimes
2020-09-18,"In Harsimrat’s resignation, SAD sees opportunity to regain lost ground",hindustantimes
2020-09-18,"‘Dust on their face, but they keep cleaning the mirror’: Sidhu lashes out at Govt over farmer bills",hindustantimes
2020-09-18,Punjab’s farmers fear new regime will end assured procurement under MSP,hindustantimes
2020-09-18,Harsimrat Kaur Badal quits Cabinet over farm bills,hindustantimes
2020-09-18,Legislation for reforms in agriculture sector passed by Lok Sabha,hindustantimes
2020-09-18,Do falling farmer suicides mean less rural distress?,hindustantimes
2020-09-18,"President accepts Harsimrat Kaur Badal’s resignation, Narendra Singh Tomar assigned her portfolio",hindustantimes
2020-09-18,"Forces trying to mislead farmers, farm bill will lead to increased profits: PM Modi",hindustantimes
2020-09-18,Farm bills: Farmers’ body announces three-day ‘rail roko’ agitation in Punjab from September 24,hindustantimes
2020-09-18,"Allies for decades, SAD-BJP move away as govt passes farm bills",hindustantimes
2020-09-18,Congress to move EC after BJP minister says govt can manipulate elections,hindustantimes
2020-09-18,‘Out of compulsion’: Punjab Congress chief Jakhar on Harsimrat Kaur Badal’s resignation,hindustantimes
2020-09-18,"SAD part of NDA, Harsimrat's resignation its 'political decision', says Punjab BJP chief",deccanherald
2020-09-18,Kejriwal requests non-BJP parties to oppose 3 bills related to agriculture sector in Rajya Sabha,hindustantimes
2020-09-18,‘Want to give clear message to farmers with humility’: PM Modi speaks to farmers via video conference,hindustantimes
2020-09-18,"Bills to reduce salaries of MPs, ministers gets Rajya Sabha nod",hindustantimes
2020-09-18,‘They are spreading lies’: PM Modi messages farmers amid row over farm bills,hindustantimes
2020-09-18,‘Will suffer big defeat’: Digvijaya Singh warns Dushyant Chautala against supporting BJP on ‘anti-farmer’ bills,hindustantimes
2020-09-18,"PM Modi defends farm bills, says critics misleading farmers",hindustantimes
2020-09-18,Kept pleading with govt not to go ahead with farm bills: Harsimrat Kaur Badal,hindustantimes
2020-09-18,Why western UP farmers are silent on Centre’s new farm bills,hindustantimes
2020-09-18,Donald Trump and Joe Biden hit unlikely battleground state of Minnesota,hindustantimes
2020-09-18,"SAD ready to make any sacrifice for farmers, will decide on continuing in NDA later: Sukhbir",timesofindia
2020-09-18,"‘What politics?’: Farmers protesting against farm bills everywhere, says Harsimrat Kaur Badal after quitting",hindustantimes
2020-09-18,"From rail blockade to shutdown, Punjab’s farmers intensify agitation to mount pressure on Centre",hindustantimes
2020-09-18,"Resignation too little, too late: Punjab CM",hindu
2020-09-18,"Harsimrat’s resignation too little, too late: Capt Amarinder Singh",tribune-punjab
2020-09-18,"Farmers demand survey of all crops damaged by rain, pests",tribune-haryana
2020-09-18,Won’t compromise on MSP issue: JJP,tribune-haryana
2020-09-18,Cong instigating farmers: CM,tribune-haryana
2020-09-18,Arrest main accused in Maur blast: High Court,tribune-punjab
2020-09-18,Cong MLA Kuljit Singh Nagra quits over passage of Bills in LS,tribune-punjab
2020-09-18,Move will help regain ground: SAD workers,tribune-punjab
2020-09-18,"On warpath, farmers refuse to budge",tribune-punjab
2020-09-18,"Farm legislations: The tussle between farmers, Centre and Opposition",tribune-punjab
2020-09-18,Manpreet Badal mocks Harsimrat’s resignation from cabinet over farm Bills,tribune-punjab
2020-09-18,"New farm laws part of SAD-backed Central govt’s ‘Kisan maaru, Punjab maaru’ conspiracy: Capt Amarinder",tribune-punjab
2020-09-18,SAD part of NDA; Harsimrat’s resignation ‘political decision’: Punjab BJP chief,tribune-punjab
2020-09-18,Navjot Sidhu breaks Twitter silence; says attack on Punjab's soul won’t be tolerated,tribune-punjab
2020-09-18,Sunny Deol says agricultural ordinances will help farmers get better price,tribune-punjab
2020-09-18,President accepts Harsimrat's resignation; Tomar gets additional charge of her ministry,tribune-punjab
2020-09-18,Harsimrat quits over farm Bills,tribune-punjab
2020-09-18,Protesting Mansa farmer who attempted suicide at Badal village dies,tribune-punjab
2020-09-18,"Sena first, and now SAD",tribune-punjab
2020-09-18,"Farm bills a 'protection shield' for farmers, says PM",telegraph
2020-09-18,BJP ally Akali Dal’s Harsimrat Kaur Badal quits ministry over ‘anti-farmer’ bills,telegraph
2020-09-18,Face-saving by Akalis,tribune-punjab
2020-09-18,Bansal: Will keep factionalism to minimum in Haryana Congress,tribune-haryana
2020-09-18,"Post lustre loss, Hafed to release withheld arhtiya commission",tribune-haryana
2020-09-19,"Sidhu breaks silence, says farmers are the soul of Punjab",timesofindia
2020-09-19,Kariakoil river comes to life after 4 years,timesofindia
2020-09-19,SAD-BJP ties: From ‘unconditional support’ in 1996 to be left in cold in 2020,timesofindia
2020-09-19,Ex-CM Harish Rawat observes ‘maun vrat’against agriculture bills passed in Lok Sabha,timesofindia
2020-09-19,Govt to replace 12 ordinances with bills in monsoon session,timesofindia
2020-09-19,"Haryana gears up for farmers’ road blockade; tells DCs, SPs to deal with protesters with ‘tact and patience’",tribune-haryana
2020-09-19,"Farmers have objections, how can I support govt at cost of people: Harsimrat",timesofindia
2020-09-19,Hooda seeks special House session on ordinances,tribune-haryana
2020-09-19,"Farm ordinances downgrade democratic values, says Johal",timesofindia
2020-09-19,"SAD projects resignation as big sacrifice, netizens question flip-flop",timesofindia
2020-09-19,Conspiracy to destroy farmers: Amarinder,hindu
2020-09-19,Copies of  Bills burnt by AIKS and HSAAA,tribune-haryana
2020-09-19,"Punjab farmer groups extend, intensify protests",timesofindia
2020-09-19,"Farmers fear losing MSP, traders say will be ruined",tribune-haryana
2020-09-19,"Akalis feel betrayed by NDA govt over farm legislation, says Sukhbir Badal",tribune-punjab
2020-09-19,Sangh affiliates urge BJP-led govt to send agri-legislations to a select committee,tribune-nation
2020-09-19,"BJP, Opposition seek to rally support as farm Bills reach Rajya Sabha",tribune-nation
2020-09-19,Pomelo sweetens farmers’ sour Covid times,timesofindia
2020-09-19,"Woman, paramour found hanging in Pilibhit village",timesofindia
2020-09-19,"PM Modi goes on offensive against opposition, calls agri bills ‘pro-farmer’",timesofindia
2020-09-19,Farms in ferment: Parliament passes farmer bills,telegraph
2020-09-19,Unfunny words: Modi's reply to Milind Soman,telegraph
2020-09-19,Social outfit sows seeds of alternative farming at Mousuni,telegraph
2020-09-19,Congress on farm bills: Not what we promised,telegraph
2020-09-19,PM battles spreading farm ire,telegraph
2020-09-19,"Agriculture bills passed in Lok Sabha, farmers protest: All you need to know",hindustantimes
2020-09-19,Farm bill row: How will the new laws work?,hindustantimes
2020-09-19,Failed to convince govt about farmers’ grouse: Harsimrat Kaur Badal,hindustantimes
2020-09-19,‘A protective shield’: PM Modi backs farm bills,hindustantimes
2020-09-19,"Sena questions Modi govt's policies, praises Vajpayee-era NDA",tribune-nation
2020-09-19,Harsimrat quitting ministry a political stunt: Bittu,timesofindia
2020-09-19,Bhopal: Infant killed by mom as she wanted baby boy,timesofindia
2020-09-19,Elephants on the move in Uttara Kannada destroy crops,timesofindia
2020-09-19,Punjabi artistes oppose agri Bills; Ammy Virk says being farmer's son he knows hardships,tribune-punjab
2020-09-19,Farmers call for Punjab bandh on September 25 over controversial farm bills,tribune-punjab
2020-09-19,Amarinder lashes out at Akalis for ‘misleading’ people on farm Bills,tribune-punjab
2020-09-19,Incessant rains throw life out of gear in Kalaburagi,hindu
2020-09-19,Farmer outfits call for ‘Bharat bandh’ on Sept. 25,hindu
2020-09-19,Over 250 farmer outfits call for a ‘Bharat Bandh’,hindu
2020-09-19,Farmers being misled: PM,hindu
2020-09-19,Hooda demands special House session on farm Bills,hindu
2020-09-19,Chautala meets Khattar over protests,hindu
2020-09-19,‘Cong. responsible for farm Bills’,hindu
2020-09-19,Stalin flays AIADMK for backing farm Bills,hindu
2020-09-19,Siddaramaiah to Yediyurappa: ‘Don’t succumb to your leader’s bullying’,hindu
2020-09-19,Do new agri Bills impact State?,hindu
2020-09-19,‘Kisan Rail’ brings no cheer to farmers,hindu
2020-09-19,Market failure,hindu
2020-09-19,BDPO shifted for claiming farmers’ protest proposed by Punjab govt,tribune-punjab
2020-09-19,Irrigation project helps fill lakes in drought-hit villages,timesofindia
2020-09-19,Withdraw farm Bills: Sukhjinder Singh Randhawa,tribune-punjab
2020-09-19,"Navjot Sidhu breaks silence, supports protesters",tribune-punjab
2020-09-19,"Reduced weightage on credit flow won’t affect TN, says Nabard chief",timesofindia
2020-09-19,Fatalities continue to rise in HP as 12 more succumb,timesofindia
2020-09-19,Centre’s farm reforms cause loss for state,timesofindia
2020-09-19,"Consumer bodies back agri mkt reforms, but risks not ruled out",timesofindia
2020-09-19,Farmers to protest against agri reforms,timesofindia
2020-09-19,"Farm bills will benefit big industrialists, traders: Raj Cong chief",timesofindia
2020-09-19,"News updates from Hindustan Times: 9 senior RSS members contract Covid-19, hospitalised and all the latest news",hindustantimes
2020-09-19,Fatehgarh Sahib MLA’s resignation comes as a bolt from the blue,tribune-punjab
2020-09-19,"Farm laws part of ‘kisan maaru,  Punjab maaru’ conspiracy: Punjab CM",tribune-punjab
2020-09-19,SAD core committee to take call on alliance with BJP,tribune-punjab
2020-09-19,Farmers reject parties’ offer to join stir,tribune-punjab
2020-09-19,Aged protester commits suicide at Badal village,tribune-punjab
2020-09-19,"No question of compromise, high command to decide: BJP",tribune-punjab
2020-09-19,"Snap ties with BJP, BKU urges Akalis",tribune-punjab
2020-09-19,"Villagers pitch in, ensure uninterrupted supply of essentials to protesters",tribune-punjab
2020-09-19,Manpreet takes dig at Harsimrat,tribune-punjab
2020-09-19,60-year-old woman mauled to death by tiger in Maharashtra’s Yavatmal,hindustantimes
2020-09-19,"Goa: Short-staffed on migrant workforce, ryots turn to machines, local labour for cultivation",timesofindia
2020-09-19,Wildbuzz: Fall of a beloved bird,hindustantimes
2020-09-19,Farmers lay siege to minister's vehicle,deccanherald
2020-09-19,From The Newsroom: Karnataka Dy CM Ashwath Narayan tests Covid-19 positive; India overtakes US in coronavirus recoveries,deccanherald
2020-09-19,"PM blames middlemen for farm protests, says Opposition spreading lies",tribune-nation
2020-09-19,Farm Bills: Those at odds now jointly opposing Centre,tribune-nation
2020-09-19,Farm bills: Chidambaram says PM distorting Congress manifesto promise,tribune-nation
2020-09-19,Trump and Biden hit unlikely battleground state of Minnesota,hindustantimes
2020-09-19,BKU to block highways in Haryana against farm bills today,hindustantimes
2020-09-19,Haryana commission agents declare indefinite strike,hindustantimes
2020-09-19,Lok Sabha passes bill to amend Companies Act,deccanherald
2020-09-19,"Shiv Sena questions Modi govt's policies, praises Vajpayee-era NDA",deccanherald
2020-09-19,Punjab’s farmer leaders to burn copies of farm bills tomorrow,hindustantimes
2020-09-19,‘There was a time when govt listened to its allies’: Sena questions Centre’s policies,hindustantimes
2020-09-19,"Uttar Pradesh police adds sedition to case against AAP MP Sanjay Singh, summons him",hindustantimes
2020-09-19,"Farmers refuse to allow Badal village protester’s last rites, demand relief, loan waiver",hindustantimes
2020-09-19,Amarinder Singh lashes out at Akalis for 'misleading' people on agri bills,deccanherald
2020-09-19,BDPO shifted for claiming farmers’ protest proposed by Punjab govt,hindustantimes
2020-09-19,Farmers’ protest running out of steam but pressure on JJP to take acid test,hindustantimes
2020-09-19,DMK convenes allies' meet on September 21 to shape strategy against Centre's farm bills,deccanherald
2020-09-19,AICC secretary Sudhir Sharma slams Centre over agriculture bills,hindustantimes
2020-09-19,"PAU Virtual Kisan Mela: Event ends with tips to farmers on water-saving tech, allied occupations",hindustantimes
2020-09-19,Farmers to protest across Haryana against farm ordinances,hindustantimes
2020-09-19,"HP logs 5 deaths, 286 fresh Covid-19 infections",hindustantimes
2020-09-19,Telangana CM Chandrashekar Rao asks TRS MPs to reject 'anti-farmer' bills in Rajya Sabha,deccanherald
2020-09-19,"PM Narendra Modi, BJP distorting Congress manifesto: P Chidambaram",deccanherald
2020-09-19,31 farmers' outfits join forces for September 25 Punjab 'bandh',deccanherald
2020-09-19,"Why is SAD still with NDA, asks Amarinder Singh",deccanherald
2020-09-19,BDPO shifted for claiming farmers' protest proposed by Punjab govt,deccanherald
2020-09-19,"Farmer kills self in Punjab amid protests against Farm Bills, Rs 3 lakh compensation given to kin ",deccanherald
2020-09-20,Farmer outfits to organise ‘chakka jam’ in Haryana today,timesofindia
2020-09-20,TRS to vote against ‘anti-farmer’ bills,timesofindia
2020-09-20,"Watershed moment for Indian agriculture, will ensure complete transformation of sector: PM Modi on farm Bills",deccanherald
2020-09-20,Farm bills introduced in Rajya Sabha; MSP will continue says Narendra Singh Tomar,deccanherald
2020-09-20,Farm bills: BJD issues whip to its RS MPs telling them to remain present in House,deccanherald
2020-09-20,Explainer: Why farmers across India are protesting the Farm Bills,deccanherald
2020-09-20,"Opposition files no-confidence motion against RS Dy Chairman Harivansh, sits on dharna inside House",deccanherald
2020-09-20,Government mulls action against unruly behaviour of MPs in Rajya Sabha,deccanherald
2020-09-20,Congress steps up protests against farm bills,deccanherald
2020-09-20,Opposition making false statements on farm bills: Haryana education minister,hindustantimes
2020-09-20,Critics cite crucial loopholes in farm bills,hindustantimes
2020-09-20,"MSP, APMC buzzwords in controversy over bills",hindustantimes
2020-09-20,"Beginning of unprecedented era in agriculture sector: Amit Shah hails farm bills, says ‘MSP will remain’",hindustantimes
2020-09-20,‘Strongly condemn aggression towards deputy chairman’: Rajnath Singh,hindustantimes
2020-09-20,This kind of attack on the Chair...: Smriti Irani on Opposition’s ruckus in Rajya Sabha,hindustantimes
2020-09-20,Don’t want to say anything political: Rajnath Singh on Opposition’s no-confidence motion,hindustantimes
2020-09-20,"Be assured, MSP will continue, says Rajnath Singh on farm bills",hindustantimes
2020-09-20,‘I am also a farmer’: Rajnath Singh’s counter to attack on farm bills,hindustantimes
2020-09-20,Defence minister Rajnath Singh says ruckus in Rajya Sabha taints image of Parliament in front of entire nation,hindustantimes
2020-09-20,"Malkit Singh, Gurdas Maan, Jasbir Jassi sing songs to support farmers' protest",tribune-punjab
2020-09-20,From The Newsroom: Tensions soar in Rajya Sabha over Farm Bills; heavy rains pound parts of Karnataka,deccanherald
2020-09-20,"Samvidhan Bachao Manch appeal to boycott BJP leaders in villages, towns in Punjab",tribune-punjab
2020-09-20,"Don’t sign farm Bills, Sukhbir Badal urges President",tribune-punjab
2020-09-20,"Punjab, Haryana feature prominently during discussion on agri Bills in Rajya Sabha",tribune-nation
2020-09-20,"Will take BJP, its allies to court over unconstitutional anti-farmer laws: Punjab CM",tribune-punjab
2020-09-20,Police use water cannon to stop Punjab Youth Cong workers from entering Haryana,tribune-punjab
2020-09-20,Farmers in Maharashtra’s Dhule laud farm bills passed by Rajya Sabha,hindustantimes
2020-09-20,Will not sign death warrant of farmers: Congress in Rajya Sabha on farm bills,deccanherald
2020-09-20,Delhi CM Arvind Kejriwal urges non-BJP parties to unite against Farm Bills in Rajya Sabha again,deccanherald
2020-09-20,"Let us compost waste locally, six villages request SDMC",timesofindia
2020-09-20,Parl passing farm bills 'historic' moment for Indian farmers: Niti Aayog Vice Chairman,deccanherald
2020-09-20,Farm bills will limit bargaining power of farmers: RS member Shreyams Kumar,deccanherald
2020-09-20,Opposition members' conduct in Rajya Sabha 'shameful': Rajnath Singh,deccanherald
2020-09-20,Farmers in Punjab burn copies of farm bills,tribune-punjab
2020-09-20,Man kills elder brother for delay in getting him married,timesofindia
2020-09-20,"Oppn gives no-confidence notice against RS Dy Chairman, govt mulls counter motion against errant MPs",tribune-nation
2020-09-20,Democracy is ashamed of govt’s ‘death warrant’ against farmers: Rahul Gandhi on farm bills,hindustantimes
2020-09-20,"Rename museum after Surajmal, demand Jats",hindu
2020-09-20,‘Bill will affect welfare measures’,hindu
2020-09-20,Akalis feared loss of ‘farmer’ vote bank,hindu
2020-09-20,‘Oppn. picking Congress manifestos selectively’,hindu
2020-09-20,The self-made Prime Minister,hindu
2020-09-20,Modi govt. has brought two anti-farmer bills: Sena,hindu
2020-09-20,"Second Kisan Rail to carry tomatoes, various fruits",hindu
2020-09-20,Farmer suicide in Wayanad,hindu
2020-09-20,BKU to hold protest today,hindu
2020-09-20,Opposition all geared up to corner government on various issues,hindu
2020-09-20,AIADMK rule will be over in six months: Stalin,hindu
2020-09-20,TRS to vote against farm Bills in RS,hindu
2020-09-20,Monsoon session may be cut short,hindu
2020-09-20,Cong. justifies objections to Bills despite similar promises,hindu
2020-09-20,Punjab CM dares Akalis to pull out of NDA,hindu
2020-09-20,Congress: worries in MP and a rising star in Assam,telegraph
2020-09-20,Blackout village scrambles for generators,telegraph
2020-09-20,Congress taps friends on farm bills,telegraph
2020-09-20,Consult States before going ahead with 3 farm Bills: CM,hindu
2020-09-20,Virtual celebration to be part of traditional Kisan Mela,timesofindia
2020-09-20,Congress hits out at NDA govt over farm bills,hindustantimes
2020-09-20,Kejriwal asks non-BJP members to unite against farm bills in Rajya Sabha,hindustantimes
2020-09-20,"After ruckus in Rajya Sabha, Venkaiah Naidu to take a call on unruly behaviour of MPs",hindustantimes
2020-09-20,News updates from Hindustan Times: Which party stands where on farm bills and all the latest news,hindustantimes
2020-09-20,Govt has paved way for ‘Atmanirbhar Agriculture’: Rajnath Singh after farm bills’ passage,hindustantimes
2020-09-20,SAD urges President to not give assent to farm bills passed by Parliament,hindustantimes
2020-09-20,"Haryana farmers lift highway blockade, Parliament clears farm reform bills",hindustantimes
2020-09-20,Farm bills passed in Parliament: Which party stands where,hindustantimes
2020-09-20,PM Modi calls passage of farm bills ‘watershed moment’ for agricultural sector,hindustantimes
2020-09-20,‘Freedom to farmers’: BJP’s Nadda after Rajya Sabha’s nod to 2 farm bills,hindustantimes
2020-09-20,"BJP, Opposition seek to rally support as farm bills reach Rajya Sabha",hindustantimes
2020-09-20,"Road blockade call: DCs, police chiefs in Haryana asked to deal with protesters with tact and patience",hindustantimes
2020-09-20,Agriculture sector Bills will turn farmers into slaves: DMK,hindustantimes
2020-09-20,2 farm bills clear Rajya Sabha hurdle amid protests,hindustantimes
2020-09-20,Haryana farmers block highways including NH 344 over farm bills,hindustantimes
2020-09-20,"News updates from Hindustan Times: Ricin found in White House originated in Canada, say police and all the latest news",hindustantimes
2020-09-20,‘Can govt assure no farmer will commit suicide after passage of farm bills?’: Sanjay Raut,hindustantimes
2020-09-20,Haryana farmers eyeing highway blockade to oppose farm reform bills,hindustantimes
2020-09-20,‘Will not sign on farmers’ death warrant’: Heated debate in Parliament as farm bills tabled in Rajya Sabha,hindustantimes
2020-09-20,"‘Defeat them, this is what farmer wants’: Kejriwal on farm bills in Rajya Sabha",hindustantimes
2020-09-20,Rajya Sabha passes two key farm bills amid protests,hindustantimes
2020-09-20,"MSP to stay, new bills will only help farmers: Nadda",hindustantimes
2020-09-20,"Punjab, Haryana feature prominently during discussion on agri Bills in Rajya Sabha",tribune-punjab
2020-09-20,"Khattar urges farmers to defer agitation, invites them for talks",hindustantimes
2020-09-20,Basti ki Pathshala,telegraph
2020-09-20,Opposition members' conduct in Rajya Sabha 'shameful': Rajnath Singh,telegraph
2020-09-20,Rajya Sabha passes two farm bills amid Opposition protests,telegraph
2020-09-20,Heated exchanges in Rajya Sabha during debate on farm bills,telegraph
2020-09-20,"Mela Ghadri Babeyan Da to focus on fascism, farm Bills",tribune-punjab
2020-09-20,Haryana gears up for farmers’ protest today,tribune-punjab
2020-09-20,30 farm unions want Bills rolled back,tribune-punjab
2020-09-20,Dissent to find voice again on Wednesday,telegraph
2020-09-20,"We are in it with peasants, say arhtiyas",tribune-punjab
2020-09-20,"Join hands for farmers, SAD urges parties",tribune-punjab
2020-09-20,"CM Punjab: Nothing common  in Congress manifesto, Bills",tribune-punjab
2020-09-20,"BDPO issues letter to back protests, shifted",tribune-punjab
2020-09-20,Police use water cannon to stop Punjab Youth Cong workers from entering Haryana,tribune-haryana
2020-09-20,"Punjab, Haryana feature prominently during discussion on agri Bills in Rajya Sabha",tribune-haryana
2020-09-20,"Farmers across Haryana protest agricultural ordinances, block roads",tribune-haryana
2020-09-20,Food inspectors told not to charge interest from arhtiyas,tribune-haryana
2020-09-20,Punjabi artistes throw weight behind farmers on social media,tribune-punjab
2020-09-20,Arvind Kejriwal urges Delhi residents to join anti-dengue campaign,hindustantimes
2020-09-20,Haryana farmers gear up to block highways amid heavy police deployment,hindustantimes
2020-09-20,Delhi Police on alert amid farmers’ protests on agriculture bills,hindustantimes
2020-09-20,"Watershed moment in Indian agriculture history, says PM Modi on Parliament clearing farm bills",tribune-nation
2020-09-20,"Heated debate on farm Bills in RS; Opposition members tear papers, heckle presiding officer",tribune-nation
2020-09-20,Country won’t let black laws roll: Rahul Gandhi on farm Bills,tribune-nation
2020-09-20,"Why is govt ‘running away’ from giving legal responsibility for MSP, asks Congress",tribune-nation
2020-09-20,Kejriwal urges non-BJP parties to vote against farm bills in Rajya Sabha,tribune-nation
2020-09-20,Will not sign death warrant of farmers: Congress in Rajya Sabha on farm bills,tribune-nation
2020-09-20,"PM distorting Cong manifesto, alleges Chidambaram",tribune-nation
2020-09-20,Haryana gears up for farmers’ protest today,tribune-nation
2020-09-20,"Nadda congratulates PM for empowering agriculture, ‘freeing farmers from injustice of 70 years’",tribune-nation
2020-09-20,Creating a new farm ecosystem,hindustantimes
2020-09-20,Passing of two farm bills in Rajya Sabha triggers protests in Ludhiana,hindustantimes
2020-09-20,"Five more succumb to coronavirus in Himachal, toll rises to 118",hindustantimes
2020-09-20,"Vij appeals to farmers to not block Highways, takes a dig at Badals",hindustantimes
2020-09-20,SAD took ‘U-turn’ on agriculture sector reforms Bills: Punjab Minister,hindustantimes
2020-09-20,"Farmers buying 20,000 tractors a year; experts say encourage cooperatives",hindustantimes
2020-09-20,70-year-old Bihar woman among 12 icons for steel ministry campaign,hindustantimes
2020-09-20,Govt move to harm farmers’ interests unfortunate: Akal Takht jathedar,hindustantimes
2020-09-20,Haryana buckled under Centre’s pressure: BKU,tribune-haryana
2020-09-20,"Wary of Pipli repeat, govt asks officials to exercise restraint",tribune-haryana
2020-09-20,Monsoon session may be cut short owing to rising virus cases,hindu
2020-09-20,"UP: NBWs issued against Mukhtar Ansari’s wife, her 2 brothers",timesofindia
2020-09-20,"TRS joins opposition to agri bills, but govt remains confident",timesofindia
2020-09-20,Muda to develop satellite town near Dhanagalli,timesofindia
2020-09-20,Himachal adds 286 new cases as tally nears 12k,timesofindia
2020-09-20,Pb shifts BDPO whose letter said protests by govt,timesofindia
2020-09-20,"Two states, one issue: Farm bills",timesofindia
2020-09-20,No let-up as unions continue protests in Punjab and Haryana,timesofindia
2020-09-20,"Onion traders from Nashik relieved, no joy for farmers",timesofindia
2020-09-20,Parliament passes two contentious Farm Bills amidst chaos and drama in Rajya Sabha,deccanherald
2020-09-20,Tigress kills tribal farmer in Yavatmal,timesofindia
2020-09-20,"Haryana min calls for restraint by cops, protesters",timesofindia
2020-09-20,"Two states, one issue: Farm bills",timesofindia
2020-09-20,"Two states, one issue: Farm bills",timesofindia
2020-09-20,"Farmers, arhtiyas to block roads in Haryana today",timesofindia
2020-09-20,"Farmers, arhtiyas to block roads in Haryana today",timesofindia
2020-09-20,Haryana gears up for farmers’ protest today,tribune-haryana
2020-09-20,Badal: Not party to anything anti-farmer,timesofindia
2020-09-20,Farmers’ body to protest agri reform bills in US Nagar,timesofindia
2020-09-20,High drama in Rajya Sabha over two Farm Bills; Oppn demands voting to be postponed,deccanherald
2020-09-20,Vij: Why did SAD not resign earlier?,timesofindia
2020-09-20,Congress and YSRCP clash on farm bills in Rajya Sabha,deccanherald
2020-09-20,Delhi Police deployed at border areas as precautionary measure amid farmers protest,deccanherald
2020-09-20,"Why is govt 'running away' from giving legal responsibility for MSP, asks Congress",deccanherald
2020-09-20,"Farmers block roads in Haryana, burn effigies in Punjab; 2 JJP MLAs join protests against farm bills",deccanherald
2020-09-20,Farmers in Punjab burn copies of farm bills,deccanherald
2020-09-20,Body of 65-year-old farmer found hanging from tree in Uttar Pradesh,deccanherald
2020-09-20,Police use water cannon to stop Punjab Youth Congress workers from entering Haryana,deccanherald
2020-09-20,Today's incidents in Rajya Sabha pained me: Deve Gowda,deccanherald
2020-09-20,"Will take BJP, its allies to court over 'unconstitutional' farm laws: Amarinder Singh",deccanherald
2020-09-20,"Tamil Nadu CM should 'apologise; to farmers for support to farm bills, says Stalin",deccanherald
2020-09-20,DMK-AIADMK spar over Farm Bills in Parliament,deccanherald
2020-09-20,8-day Karnataka legislature session to begin on Monday; 32 bills on the cards,deccanherald
2020-09-20,"BJP jumps into campaign mode to defend Farm Bills, condemns Opposition for ruckus",deccanherald
2020-09-20,"Don't sign farm bills, Sukhhbir Badal urges President",deccanherald
2020-09-20,It is a landmark day: Rajnath Singh on passage of farm bills in Rajya Sabha,deccanherald
2020-09-20,"Government running away from legal responsibility for Minimum Support Price, says Rahul Gandhi",deccanherald
2020-09-20,"Kerala's ruling Left, Opposition Congress flay Centre over farm bills",deccanherald
2020-09-20,Rahul Gandhi slams farm bills as 'death warrants',deccanherald
2020-09-21,"Farm legislation: Dissatisfaction of farmers can endanger peace and internal security, warns Ashwani Kumar",tribune-nation
2020-09-21,Telangana parties together in opposing new agriculture laws,tribune-nation
2020-09-21,"Ansari’s wife, their two sons and nine others booked for fraudulent land deals: Officials",tribune-nation
2020-09-21,Centre announces MSP for 6 crops; Rs 50 increase for wheat,tribune-nation
2020-09-21,Govt sets foodgrain output target at record 301 million tonnes for 2020-21,tribune-nation
2020-09-21,10 central trade unions to support nation-wide farmers protest on Friday,tribune-nation
2020-09-21,"Opposition parties hit out at govt over suspension of 8 MPs, hold protest on Parliament premises",tribune-nation
2020-09-21,"Farm Bills need of 21st century, mandis and MSP will stay: PM",tribune-nation
2020-09-21,Muting of democratic India continues: Congress on Rajya Sabha MPs' suspension,tribune-nation
2020-09-21,"Many states, UTs not providing details of farmer suicides: MHA tells RS",tribune-nation
2020-09-21,Don’t know why Harsimrat resigned from Union Cabinet: Ravi Shankar Prasad,tribune-nation
2020-09-21,Increase in MSP: Punjab CM terms it a ‘cruel joke’,tribune-punjab
2020-09-21,Thousands of farmers march across Patiala city,tribune-punjab
2020-09-21,Punjab leaders stopped from entering Haryana,tribune-punjab
2020-09-21,Pathankot-Mandi road project altered for early completion,tribune-punjab
2020-09-21,Akalis not in a hurry to break alliance with BJP,tribune-punjab
2020-09-21,"Boycott BJP leaders, manch urges villagers",tribune-punjab
